"word_clean","language","uni_lemma","lexical_class","category","definition","cnt","frequency","surprisal_2gm","surprisal_3gm","surprisal_4gm","surprisal_5gm","surprisal_6gm"
"brush","English (American)","brush (object)","nouns","household","brush",1396,11.7868572430322,12.7295717126505,5.61274901406405,1.81960478580561,0.480489881936714,0.16063501130879
"bubbles","English (American)","bubbles","nouns","toys","bubbles",795,12.3498814117002,12.8470139008453,5.66892140394285,1.61372843627346,0.461488001694835,0.125382911329052
"bucket","English (American)","bucket","nouns","household","bucket",790,12.3561905808934,12.9559212467441,6.11326268009646,1.7875023464067,0.534429940486782,0.211522910185854
"bug","English (American)","bug","nouns","animals","bug",1473,11.7331671098919,11.7154273095049,5.50197325199857,1.80917990327355,0.512978319489473,0.191091421443207
"build","English (American)","build","verbs","action_words","build",13360,9.52820307926387,9.72064566243986,6.38758685173575,2.92214976976693,0.940218322317465,0.217858918804479
"bump","English (American)","bump","verbs","action_words","bump",677,12.5105522534422,12.3415474481286,5.23136909558415,1.59354901849221,0.443363864947167,0.201421371104778
"bunny","English (American)","bunny","nouns","animals","bunny",1136,11.9929549270734,9.80523495071078,3.74262201891599,1.05545119455034,0.32842608935505,0.157556350363171
"bus","English (American)","bus","nouns","vehicles","bus",15061,9.40835962614265,10.0560258975505,5.04194630059712,1.86459549785283,0.570700483733361,0.174496227639151
"but","English (American)","but","function_words","connecting_words","but",303272,6.40583815477651,7.96199584071906,4.81617332264346,2.13499178378822,0.747479526356715,0.253367556271773
"butter","English (American)","butter","nouns","food_drink","butter",1370,11.8056575075323,11.0183815776719,4.65936394824543,1.42039760437907,0.413666717799078,0.162159872419289
"butterfly","English (American)","butterfly","nouns","animals","butterfly",3715,10.8080895692026,10.3223845448023,4.77454453192212,2.04613848133836,0.870605441399979,0.438380002393048
"buttocks","English (American)","butt","nouns","body_parts","buttocks/bottom*",199,13.73491870163,13.8047500101235,7.15616317200424,2.01561913697849,0.624906592795436,0.265527032676101
"button","English (American)","button","nouns","clothing","button",2278,11.2971703823474,11.2286269076887,5.00020682728005,1.35638008361204,0.33527666424337,0.126842685960938
"buy","English (American)","buy","verbs","action_words","buy",5319,10.4491829316122,10.9292900367724,6.53814576814135,2.74434760073418,0.857530759205343,0.197505243939529
"by","English (American)","by","function_words","locations","by",1304962,4.94653904681348,4.4687697504203,2.48407618413463,1.04691283814559,0.352828976361727,0.112000331450879
"cake","English (American)","cake","nouns","food_drink","cake",1931,11.462430243926,10.7874521266367,4.28185854340287,1.22902516653221,0.318750758328279,0.107638177504403
"camera","English (American)","camera","nouns","household","camera",7604,10.0917938227462,10.9254879071784,5.85549559932608,1.97662707422266,0.554501185611381,0.132968962594253
"can","English (American)","can (object)","nouns","household","can (object)",148958,7.11680386035695,7.81659327192064,4.05814746024745,1.20004798238917,0.290487162971984,0.0815907501041031
"can","English (American)","can (auxiliary)","function_words","helping_verbs","can (auxiliary)",148958,7.11680386035695,7.81659327192064,4.05814746024745,1.20004798238917,0.290487162971984,0.0815907501041031
"candy","English (American)","candy","nouns","food_drink","candy",2150,11.3550004052328,11.8969227965954,4.91474992929863,1.58452939888938,0.572714922667617,0.249732780524782
"car","English (American)","car","nouns","vehicles","car",32365,8.64339065537489,9.59564164475706,5.34807975449672,2.04562063708678,0.603215579190914,0.174196073984695
"careful","English (American)","careful","adjectives","descriptive_words","careful",1297,11.8604143420381,13.5777743781534,7.31749706147911,2.60015162974075,0.648547232310528,0.136981603458281
"carrots","English (American)","carrots","nouns","food_drink","carrots",241,13.5434265928638,12.3071137258919,4.22210322925829,1.08610739573211,0.331041107989703,0.026232066783765
"carry","English (American)","carry","verbs","action_words","carry",8743,9.95221486717361,10.5433730391721,6.46373395769027,2.72150685972273,0.833843825004833,0.184692875688112
"cat","English (American)","cat","nouns","animals","cat",8180,10.0187760967577,10.4100545876916,4.78595489225878,1.61581978101796,0.513381412232577,0.179653274344807
"catch","English (American)","catch","verbs","action_words","catch",3887,10.7628305955023,12.1450638898715,7.00434209456443,2.82357442802254,0.821252187342232,0.2334467564255
"cereal","English (American)","cereal","nouns","food_drink","cereal",543,12.7311142064206,13.0589609675208,6.09577370676222,1.86153775969556,0.476690370586359,0.132137890287579
"chair","English (American)","chair","nouns","furniture_rooms","chair",11522,9.67620999606218,10.4566960616344,5.92010515479052,2.62176975432326,0.988092702612062,0.330957336331058
"chalk","English (American)","chalk","nouns","toys","chalk",922,12.2016783027979,13.6437509613273,7.05734714879555,2.45647181259947,0.890803160322399,0.319169399983775
"chase","English (American)","chase","verbs","action_words","chase",6078,10.3157925528778,10.7960329249139,5.03319521405274,1.86095244013352,0.679215232245935,0.30388457716852
"cheek","English (American)","cheek","nouns","body_parts","cheek",738,12.424279701754,13.6626533195312,5.02572562767146,1.33331751769739,0.319313234797694,0.0754061534962226
"cheerios","English (American)","cheerios","nouns","food_drink","cheerios",48,15.1570225154466,15.112216080351,9.99510041450331,4.19288946609596,1.6904707449172,0.125
"cheese","English (American)","cheese","nouns","food_drink","cheese",2735,11.1143368114984,10.4390937832099,4.66428390181402,1.46398622673119,0.471577972183185,0.164197958778612
"chicken","English (American)","chicken (food)","nouns","food_drink","chicken (food)",3038,11.0092688431988,11.0993710202279,4.750416435125,1.44856394031283,0.455954556792325,0.182873080378203
"chicken","English (American)","chicken (animal)","nouns","animals","chicken (animal)",3038,11.0092688431988,11.0993710202279,4.750416435125,1.44856394031283,0.455954556792325,0.182873080378203
"chin","English (American)","chin","nouns","body_parts","chin",2074,11.390989137565,10.8554545999645,4.79175450283583,1.62991257758907,0.560815708046388,0.226393990281548
"chocolate","English (American)","chocolate","nouns","food_drink","chocolate",2757,11.1063251153307,11.5591958821528,5.13935840854924,1.58023810343103,0.523468319223125,0.223372917475565
"church","English (American)","church","nouns","outside","church*",94038,7.57676929147238,6.81965467957599,4.53233555987136,2.32132502919429,0.891528858397438,0.334557413372231
"clap","English (American)","clap","verbs","action_words","clap",279,13.3970117445331,13.1401645763741,5.92211754591916,2.01505325235147,0.715058856275814,0.334245346229451
"clean","English (American)","clean (description)","adjectives","descriptive_words","clean (description)",6124,10.3082527695769,11.7687883094006,6.39631395043424,2.3749651023013,0.799923325062687,0.29074762908464
"clean","English (American)","clean (action)","verbs","action_words","clean (action)",6124,10.3082527695769,11.7687883094006,6.39631395043424,2.3749651023013,0.799923325062687,0.29074762908464
"climb","English (American)","climb","verbs","action_words","climb",2296,11.289299768915,12.5597674266004,7.36204932871011,2.89637737471301,0.875512565190547,0.282161723140327
"clock","English (American)","clock","nouns","household","clock",5954,10.3364049847788,11.0009119761703,5.77917852226809,1.85809541454395,0.476450984473041,0.154682479810215
"close","English (American)","close","verbs","action_words","close",28448,8.77239038804087,10.5239426012011,6.22849579146636,2.37619836905849,0.684698841159296,0.185530021613621
"closet","English (American)","closet","nouns","furniture_rooms","closet",528,12.7591272426482,13.9871473517628,8.51170092249998,3.24678863449558,1.00529327150469,0.235720689431652
"cloud","English (American)","cloud","nouns","outside","cloud",5164,10.478756774388,10.8684717831065,5.30753854988254,1.7583790847679,0.502496525935977,0.14833281175079
