language,word_clean,cd_score
English (Australian),sing,933
English (Australian),sink,358
English (Australian),sit,1722
English (Australian),sky,582
English (Australian),sleep,1198
English (Australian),sleepy,364
English (Australian),slide,698
English (Australian),slipper,266
English (Australian),slow,312
English (Australian),smell,580
English (Australian),smile,339
English (Australian),snake,746
English (Australian),soap,440
English (Australian),sock,416
English (Australian),coke,212
English (Australian),soft,644
English (Australian),soup,563
English (Australian),spaghetti,562
English (Australian),spider,564
English (Australian),spill,392
English (Australian),splash,335
English (Australian),spoon,871
English (Australian),stairs,614
English (Australian),stand,998
English (Australian),star,486
English (Australian),stick,987
English (Australian),stone,321
English (Australian),stop,1365
English (Australian),street,668
English (Australian),pram,366
English (Australian),stroller,232
English (Australian),sun,772
English (Australian),jumper,389
English (Australian),sweep,200
English (Australian),swim,515
English (Australian),swing,523
English (Australian),swing,523
English (Australian),table,1399
English (Australian),take,2727
English (Australian),talk,1277
English (Australian),yummy,398
English (Australian),rip,266
English (Australian),tear,293
English (Australian),telephone,571
English (Australian),tell,2235
English (Australian),thirsty,345
English (Australian),throw,1148
English (Australian),tickle,445
English (Australian),tiger,662
English (Australian),tired,816
English (Australian),tissue,405
English (Australian),toast,731
English (Australian),toe,405
English (Australian),tongue,424
English (Australian),tooth,365
English (Australian),toothbrush,273
English (Australian),touch,949
English (Australian),towel,457
English (Australian),toy,1061
English (Australian),tractor,716
English (Australian),train,1578
English (Australian),garbage,355
English (Australian),tree,1143
English (Australian),truck,1244
English (Australian),stomach,313
English (Australian),turkey,381
English (Australian),turtle,444
English (Australian),tv,625
English (Australian),underpants,181
English (Australian),vacuum,282
English (Australian),wake,554
English (Australian),walk,1108
English (Australian),wall,717
English (Australian),wardrobe,145
English (Australian),wash,968
English (Australian),watch,1641
English (Australian),watch,1641
English (Australian),water,1734
English (Australian),water,1734
English (Australian),wet,915
English (Australian),white,1263
English (Australian),wind,584
English (Australian),window,952
English (Australian),wipe,577
English (Australian),work,1436
English (Australian),write,855
English (Australian),yellow,1359
English (Australian),yoghurt,325
English (Australian),yucky,320
English (Australian),zipper,195
English (Australian),bike,596
English (Australian),brick,337
English (Australian),rabbit,802
English (Australian),lounge,124
English (Australian),feet,1163
English (Australian),stove,344
English (Australian),porch,159
English (Australian),phone,736
English (Australian),teeth,902
English (Australian),rubbish,496
English (Australian),tummy,727
English (Australian),sofa,368
