language,word_clean,cd_score
German,Fernseher,44
German,unter,568
German,uns,978
German,Staubsauger,63
German,gehen,690
German,laufen,305
German,wollen,875
German,waschen,129
German,Waschmaschine,57
German,zugucken,77
German,gucken,828
German,Wasser,667
German,wir,2717
German,nass,223
German,was,2728
German,wann,312
German,wo,1687
German,welche,478
German,weiß,793
German,wer,1426
German,warum,689
German,Wind,108
German,Fenster,298
German,wischen,81
German,mit,2552
German,Wolf,32
German,arbeiten,159
German,schreiben,174
German,Hof,108
German,gelb,310
German,Joghurt,119
German,euch,330
German,du,3414
German,dein,918
German,Toilette,74
