language,word_clean,cd_score
French (French),balancer,62
French (French),balançoire,106
French (French),table,472
French (French),prendre,682
French (French),parler,268
French (French),déchirer,51
French (French),nounours,172
French (French),téléphone,271
French (French),ça,3358
French (French),le,3673
French (French),leur,502
French (French),eux,246
French (French),là,2777
French (French),ces,537
French (French),ils,1379
French (French),on,2903
French (French),penser,106
French (French),soif,129
French (French),ceux,204
French (French),pouce,120
French (French),tigre,118
French (French),collants,47
French (French),fatigué,150
French (French),mouchoir,142
French (French),langue,190
French (French),dent,49
French (French),toucher,183
French (French),serviette,188
French (French),jouet,152
French (French),tracteur,202
French (French),train,496
French (French),arbre,85
French (French),camion,225
French (French),ventre,231
French (French),dindon,12
French (French),tortue,133
French (French),télé,160
French (French),sous,379
French (French),culotte,181
French (French),aspirateur,47
French (French),attendre,172
French (French),marcher,217
French (French),laver,296
French (French),montre,493
French (French),attention,688
French (French),nous,831
French (French),mouillé,201
French (French),quoi,1481
French (French),quand,1657
French (French),où,1507
French (French),lequel,214
French (French),blanc,225
French (French),qui,2687
French (French),pourquoi,831
French (French),vent,113
French (French),fenêtre,180
French (French),essuyer,102
French (French),avec,2419
French (French),loup,307
French (French),travailler,173
French (French),écrire,205
French (French),jaune,331
French (French),yaourt,138
French (French),vous,994
French (French),votre,161
French (French),zèbre,57
French (French),une,2342
French (French),beaucoup,768
French (French),tout,1785
French (French),belle,328
French (French),bavette,91
French (French),grande,464
French (French),sèche,81
French (French),visage,115
French (French),première,216
French (French),pleine,89
French (French),bonne,336
French (French),verte,127
French (French),contente,162
French (French),lourde,29
French (French),sa,1015
French (French),haute,69
French (French),son,1204
French (French),chaude,127
French (French),petite,1002
French (French),longue,54
French (French),mon,1383
French (French),coquine,66
French (French),gentille,114
French (French),aucune,65
French (French),vieille,80
French (French),zizi,106
French (French),route,142
French (French),pantoufle,63
French (French),douce,52
French (French),la,3525
French (French),elles,639
French (French),slip,32
French (French),laquelle,140
French (French),blanche,127
French (French),tu,3929
French (French),ta,1353
French (French),mes,412
French (French),des,2370
French (French),les,2989
French (French),lesquels,59
French (French),ton,1554
