language,word_clean,cd_score
Mandarin (Taiwanese),马,262
Mandarin (Taiwanese),热,151
Mandarin (Taiwanese),烫,83
Mandarin (Taiwanese),怎么,1155
Mandarin (Taiwanese),多少,157
Mandarin (Taiwanese),抱,268
Mandarin (Taiwanese),饿,110
Mandarin (Taiwanese),快点,242
Mandarin (Taiwanese),冰淇淋,35
Mandarin (Taiwanese),如果,305
Mandarin (Taiwanese),里面,922
Mandarin (Taiwanese),好不好,795
Mandarin (Taiwanese),果酱,14
Mandarin (Taiwanese),罐子,48
Mandarin (Taiwanese),果冻,21
Mandarin (Taiwanese),果汁,43
Mandarin (Taiwanese),跳,310
Mandarin (Taiwanese),钥匙,47
Mandarin (Taiwanese),踢,231
Mandarin (Taiwanese),亲,93
Mandarin (Taiwanese),厨房,58
Mandarin (Taiwanese),风筝,83
Mandarin (Taiwanese),膝盖,9
Mandarin (Taiwanese),刀子,11
Mandarin (Taiwanese),敲,137
Mandarin (Taiwanese),梯子,103
Mandarin (Taiwanese),叶子,111
Mandarin (Taiwanese),柠檬,39
Mandarin (Taiwanese),狮子,188
Mandarin (Taiwanese),听,500
Mandarin (Taiwanese),客厅,54
Mandarin (Taiwanese),棒棒糖,10
Mandarin (Taiwanese),看,1794
Mandarin (Taiwanese),大声,80
Mandarin (Taiwanese),喜欢,566
Mandarin (Taiwanese),肉,180
Mandarin (Taiwanese),药,52
Mandarin (Taiwanese),西瓜,166
Mandarin (Taiwanese),牛奶,114
Mandarin (Taiwanese),镜子,72
Mandarin (Taiwanese),手套,81
Mandarin (Taiwanese),钱,184
Mandarin (Taiwanese),猴子,173
Mandarin (Taiwanese),月亮,84
Mandarin (Taiwanese),拖把,10
Mandarin (Taiwanese),蚊子,60
Mandarin (Taiwanese),老鼠,281
Mandarin (Taiwanese),嘴巴,249
Mandarin (Taiwanese),好多,353
Mandarin (Taiwanese),很多,40
Mandarin (Taiwanese),土,95
Mandarin (Taiwanese),指甲,32
Mandarin (Taiwanese),钉子,21
Mandarin (Taiwanese),脖子,77
Mandarin (Taiwanese),项链,24
Mandarin (Taiwanese),新,157
Mandarin (Taiwanese),不是,399
Mandarin (Taiwanese),没有,895
Mandarin (Taiwanese),面,228
Mandarin (Taiwanese),鼻子,216
Mandarin (Taiwanese),打开,175
Mandarin (Taiwanese),外面,446
Mandarin (Taiwanese),猫头鹰,78
Mandarin (Taiwanese),睡衣,49
Mandarin (Taiwanese),裤子,106
Mandarin (Taiwanese),纸,256
Mandarin (Taiwanese),鹦鹉,17
Mandarin (Taiwanese),孔雀,72
Mandarin (Taiwanese),花生,33
Mandarin (Taiwanese),梨子,41
Mandarin (Taiwanese),豆子,29
Mandarin (Taiwanese),笔,215
Mandarin (Taiwanese),铅笔,27
Mandarin (Taiwanese),企鹅,53
Mandarin (Taiwanese),手机,59
Mandarin (Taiwanese),捡,161
Mandarin (Taiwanese),图片,107
Mandarin (Taiwanese),猪,229
Mandarin (Taiwanese),鸽子,52
Mandarin (Taiwanese),枕头,59
Mandarin (Taiwanese),捏,71
Mandarin (Taiwanese),夹,142
Mandarin (Taiwanese),披萨,10
Mandarin (Taiwanese),盘子,66
Mandarin (Taiwanese),玩,680
Mandarin (Taiwanese),可怜,107
Mandarin (Taiwanese),冰棒,19
Mandarin (Taiwanese),稀饭,31
Mandarin (Taiwanese),锅,80
Mandarin (Taiwanese),电锅,8
Mandarin (Taiwanese),马铃薯,15
Mandarin (Taiwanese),马桶,8
Mandarin (Taiwanese),倒,332
Mandarin (Taiwanese),礼物,85
Mandarin (Taiwanese),按,137
Mandarin (Taiwanese),假装,49
Mandarin (Taiwanese),漂亮,293
Mandarin (Taiwanese),布丁,21
Mandarin (Taiwanese),拉,236
