language,uni_lemma,lexical_class,category,definition,word_clean
Spanish (Mexican),hot,adjectives,descriptive_words,caliente,caliente
Spanish (Mexican),hot dog,nouns,food_drink,salchicha,salchicha
Spanish (Mexican),house,nouns,outside,casa,casa
Spanish (Mexican),how,function_words,question_words,cómo,cómo
Spanish (Mexican),hungry,adjectives,descriptive_words,hambre,hambre
Spanish (Mexican),hurry,verbs,action_words,apurar(se),apurar
Spanish (Mexican),hurt (action),verbs,action_words,doler,doler
Spanish (Mexican),i,function_words,pronouns,yo,yo
Spanish (Mexican),ice cream,nouns,food_drink,helado/nieve,helado
Spanish (Mexican),in,function_words,locations,en,en
Spanish (Mexican),inside,function_words,locations,adentro,adentro
Spanish (Mexican),it,function_words,pronouns,le,le
Spanish (Mexican),juice,nouns,food_drink,jugo,jugo
Spanish (Mexican),jump,verbs,action_words,brincar,brincar
Spanish (Mexican),keys,nouns,household,llaves,llaves
Spanish (Mexican),keys,nouns,household,llave,llave
Spanish (Mexican),kitchen,nouns,furniture_rooms,cocina,cocina
Spanish (Mexican),knee,nouns,body_parts,rodilla,rodilla
Spanish (Mexican),knife,nouns,household,cuchillo,cuchillo
Spanish (Mexican),lamb,nouns,animals,borrego,borrego
Spanish (Mexican),leg,nouns,body_parts,piernas,piernas
Spanish (Mexican),light (object),nouns,household,luz,luz
Spanish (Mexican),lion,nouns,animals,león,león
Spanish (Mexican),little (description),adjectives,descriptive_words,chico,chico
Spanish (Mexican),little (description),adjectives,descriptive_words,poco,poco
Spanish (Mexican),living room,nouns,furniture_rooms,sala,sala
Spanish (Mexican),lollipop,nouns,food_drink,paleta,paleta
Spanish (Mexican),look,verbs,action_words,mirar,mirar
Spanish (Mexican),me,function_words,pronouns,me,me
Spanish (Mexican),meat,nouns,food_drink,carne,carne
Spanish (Mexican),medicine,nouns,household,medicina,medicina
Spanish (Mexican),milk,nouns,food_drink,leche,leche
Spanish (Mexican),mine,function_words,pronouns,mía,mía
Spanish (Mexican),mine,function_words,pronouns,mías,mías
Spanish (Mexican),mine,function_words,pronouns,mío,mío
Spanish (Mexican),mine,function_words,pronouns,míos,míos
Spanish (Mexican),mirror,nouns,household,espejo,espejo
Spanish (Mexican),money,nouns,household,dinero,dinero
Spanish (Mexican),monkey,nouns,animals,mono,mono
Spanish (Mexican),moon,nouns,outside,luna,luna
Spanish (Mexican),more,function_words,quantifiers,más,más
Spanish (Mexican),motorcycle,nouns,vehicles,moto,moto
Spanish (Mexican),mouse,nouns,animals,ratón,ratón
Spanish (Mexican),mouth,nouns,body_parts,boca,boca
Spanish (Mexican),mustache,nouns,body_parts,bigote,bigote
Spanish (Mexican),necklace,nouns,clothing,collar,collar
Spanish (Mexican),new,adjectives,descriptive_words,nuevo,nuevo
Spanish (Mexican),none,function_words,quantifiers,no hay,no hay
Spanish (Mexican),nose,nouns,body_parts,nariz,nariz
Spanish (Mexican),nothing,function_words,quantifiers,nada,nada
Spanish (Mexican),of,function_words,locations,de,de
Spanish (Mexican),old,adjectives,descriptive_words,viejo,viejo
Spanish (Mexican),on,function_words,locations,encima,encima
Spanish (Mexican),open (action),verbs,action_words,abrir,abrir
Spanish (Mexican),orange (food),nouns,food_drink,naranja,naranja
Spanish (Mexican),out,function_words,locations,afuera,afuera
Spanish (Mexican),oven,nouns,furniture_rooms,horno,horno
Spanish (Mexican),owl,nouns,animals,búho,búho
Spanish (Mexican),ox,nouns,animals,buey,buey
Spanish (Mexican),pacifier,nouns,household,chupón/chupete,chupón
Spanish (Mexican),paint (action),verbs,action_words,pintar,pintar
Spanish (Mexican),pajamas,nouns,clothing,pijama,pijama
Spanish (Mexican),pants,nouns,clothing,pantalón,pantalón
Spanish (Mexican),paper,nouns,household,papel,papel
Spanish (Mexican),park,nouns,outside,parque,parque
Spanish (Mexican),party,nouns,outside,fiesta,fiesta
Spanish (Mexican),pen/pencil,nouns,toys,lápiz,lápiz
Spanish (Mexican),penguin,nouns,animals,pingüino,pingüino
Spanish (Mexican),penis,nouns,body_parts,pene,pene
Spanish (Mexican),photos,nouns,household,fotos,fotos
Spanish (Mexican),picture,nouns,household,cuadro,cuadro
Spanish (Mexican),pig,nouns,animals,puerco,puerco
Spanish (Mexican),pillow,nouns,household,almohada,almohada
Spanish (Mexican),plant,nouns,outside,planta,planta
Spanish (Mexican),plate,nouns,household,plato,plato
Spanish (Mexican),play,verbs,action_words,jugar,jugar
Spanish (Mexican),pool,nouns,outside,alberca/piscina,alberca
Spanish (Mexican),potty,nouns,furniture_rooms,bacinica,bacinica
Spanish (Mexican),pretty,adjectives,descriptive_words,bonita,bonita
Spanish (Mexican),purse,nouns,household,bolsa,bolsa
Spanish (Mexican),purse,nouns,clothing,bolsa (clothing),bolsa
Spanish (Mexican),push,verbs,action_words,empujar,empujar
Spanish (Mexican),put,verbs,action_words,meter(se),meter
Spanish (Mexican),put,verbs,action_words,poner(se),poner
Spanish (Mexican),quesadilla,nouns,food_drink,quesadilla,quesadilla
Spanish (Mexican),radio,nouns,household,radio,radio
Spanish (Mexican),rain,nouns,outside,lluvia,lluvia
Spanish (Mexican),read,verbs,action_words,leer,leer
Spanish (Mexican),red,adjectives,descriptive_words,rojo,rojo
Spanish (Mexican),refrigerator,nouns,furniture_rooms,refrigerador,refrigerador
Spanish (Mexican),rice,nouns,food_drink,arroz,arroz
Spanish (Mexican),rock (object),nouns,outside,piedra,piedra
Spanish (Mexican),roof,nouns,outside,techo,techo
Spanish (Mexican),room,nouns,furniture_rooms,cuarto,cuarto
Spanish (Mexican),run,verbs,action_words,correr,correr
Spanish (Mexican),sad,adjectives,descriptive_words,triste,triste
Spanish (Mexican),same,adjectives,descriptive_words,igual,igual
Spanish (Mexican),say,verbs,action_words,decir,decir
Spanish (Mexican),scared,adjectives,descriptive_words,miedo,miedo
Spanish (Mexican),scared,adjectives,descriptive_words,miedo/susto,miedo
Spanish (Mexican),school,nouns,outside,escuela,escuela
Spanish (Mexican),scissors,nouns,household,tijeras,tijeras
Spanish (Mexican),see,verbs,action_words,ver,ver
Spanish (Mexican),see,verbs,action_words,ver(se),ver
Spanish (Mexican),self,function_words,pronouns,se,se
Spanish (Mexican),shoe,nouns,clothing,zapato,zapato
Spanish (Mexican),shorts,nouns,clothing,shorts,shorts
Spanish (Mexican),show,verbs,action_words,enseñar,enseñar
Spanish (Mexican),shower,nouns,furniture_rooms,regadera/ducha,regadera
Spanish (Mexican),sick,adjectives,descriptive_words,enfermo,enfermo
Spanish (Mexican),sing,verbs,action_words,cantar,cantar
Spanish (Mexican),sink,nouns,furniture_rooms,lavabo,lavabo
Spanish (Mexican),sit,verbs,action_words,sentar(se),sentar
Spanish (Mexican),skirt,nouns,clothing,falda,falda
Spanish (Mexican),sky,nouns,outside,cielo,cielo
Spanish (Mexican),sleep,verbs,action_words,dormir(se),dormir
Spanish (Mexican),sleepy,adjectives,descriptive_words,sueño,sueño
Spanish (Mexican),slide (object),nouns,outside,resbaladilla,resbaladilla
Spanish (Mexican),snow,nouns,outside,nieve,nieve
Spanish (Mexican),soap,nouns,household,jabón,jabón
Spanish (Mexican),sock,nouns,clothing,calcetines,calcetines
Spanish (Mexican),sock,nouns,clothing,calcetín,calcetín
Spanish (Mexican),soda,nouns,food_drink,soda/refresco,soda
Spanish (Mexican),soft,adjectives,descriptive_words,suave,suave
Spanish (Mexican),soup,nouns,food_drink,sopa,sopa
Spanish (Mexican),spider,nouns,animals,araña,araña
Spanish (Mexican),spoon,nouns,household,cuchara,cuchara
Spanish (Mexican),squirrel,nouns,animals,ardilla,ardilla
Spanish (Mexican),stairs,nouns,furniture_rooms,escalera,escalera
Spanish (Mexican),stairs,nouns,furniture_rooms,escaleras,escaleras
Spanish (Mexican),star,nouns,outside,estrella,estrella
Spanish (Mexican),stop,verbs,action_words,parar(se),parar
Spanish (Mexican),store,nouns,outside,tienda/mercado,tienda
Spanish (Mexican),stove,nouns,furniture_rooms,estufa,estufa
Spanish (Mexican),street,nouns,outside,calle,calle
Spanish (Mexican),stroller,nouns,vehicles,carreola,carreola
Spanish (Mexican),sun,nouns,outside,sol,sol
Spanish (Mexican),sweater,nouns,clothing,suéter,suéter
Spanish (Mexican),swing (object),nouns,outside,columpio,columpio
Spanish (Mexican),t-shirt,nouns,clothing,playera,playera
Spanish (Mexican),table,nouns,furniture_rooms,mesa,mesa
Spanish (Mexican),take,verbs,action_words,llevar(se),llevar
Spanish (Mexican),take,verbs,action_words,tomar(se),tomar
Spanish (Mexican),take out,verbs,action_words,sacar,sacar
Spanish (Mexican),teddybear,nouns,toys,osito,osito
Spanish (Mexican),telephone,nouns,household,teléfono,teléfono
Spanish (Mexican),that,function_words,pronouns,aquel,aquel
Spanish (Mexican),that,function_words,pronouns,aquella,aquella
Spanish (Mexican),that,function_words,pronouns,esa,esa
Spanish (Mexican),that,function_words,pronouns,ese,ese
Spanish (Mexican),that,function_words,pronouns,eso,eso
Spanish (Mexican),the,function_words,articles,el (articles),el
Spanish (Mexican),the,function_words,articles,la,la
Spanish (Mexican),the,function_words,articles,las,las
Spanish (Mexican),the,function_words,articles,los,los
Spanish (Mexican),them,function_words,pronouns,les,les
Spanish (Mexican),there,function_words,locations,ahí,ahí
Spanish (Mexican),there,function_words,locations,alla/allí,alla
Spanish (Mexican),these,function_words,pronouns,éstas,éstas
Spanish (Mexican),these,function_words,pronouns,éstos,éstos
Spanish (Mexican),they,function_words,pronouns,ellas,ellas
Spanish (Mexican),they,function_words,pronouns,ellos,ellos
Spanish (Mexican),thirsty,adjectives,descriptive_words,sed,sed
Spanish (Mexican),this,function_words,pronouns,ésta,ésta
Spanish (Mexican),this,function_words,pronouns,éste,éste
Spanish (Mexican),this,function_words,pronouns,esto,esto
Spanish (Mexican),those,function_words,pronouns,esas,esas
Spanish (Mexican),those,function_words,pronouns,esos,esos
Spanish (Mexican),throw,verbs,action_words,aventar,aventar
Spanish (Mexican),throw,verbs,action_words,tirar,tirar
Spanish (Mexican),tiger,nouns,animals,tigre,tigre
Spanish (Mexican),tights,nouns,clothing,medias,medias
Spanish (Mexican),tired,adjectives,descriptive_words,cansado,cansado
Spanish (Mexican),tongue,nouns,body_parts,lengua,lengua
Spanish (Mexican),tooth,nouns,body_parts,dientes,dientes
Spanish (Mexican),toothbrush,nouns,household,cepillo de dientes,cepillo de dientes
Spanish (Mexican),tortilla,nouns,food_drink,tortilla,tortilla
Spanish (Mexican),touch,verbs,action_words,tocar,tocar
Spanish (Mexican),towel,nouns,household,toalla,toalla
Spanish (Mexican),toy (object),nouns,toys,juguete,juguete
Spanish (Mexican),tractor,nouns,vehicles,tractor,tractor
Spanish (Mexican),train,nouns,vehicles,tren,tren
Spanish (Mexican),trash,nouns,household,basura,basura
Spanish (Mexican),tree,nouns,outside,árbol,árbol
Spanish (Mexican),truck,nouns,vehicles,camión/troca,camión
Spanish (Mexican),tummy,nouns,body_parts,panza,panza
Spanish (Mexican),turkey,nouns,animals,guajolote,guajolote
Spanish (Mexican),turn off,verbs,action_words,apagar,apagar
