"","word","mean_surprisal","n_instances"
"214","night",0.00013825884265072,3954
"215","no",6.81262117854e-06,86149
"216","none",0.00450732537330898,404
"217","nose",0.00013134200373988,4475
"218","not",9.3093168436e-06,50277
"219","now",1.662394372952e-05,46644
"220","off",2.613541769276e-05,17209
"221","old",0.00017972182664698,3163
"222","on",6.49590315614e-06,103874
"223","open",8.56016902702e-05,6596
"224","orange",0.00013354702596302,4042
"225","other",3.296493957936e-05,12482
"226","ouch",0.00101210380232306,807
"227","out",0.00018777997291552,27325
"228","outside",0.00013675985605238,4162
"229","oven",0.0015343488818045,561
"230","owl",0.00178397597866172,598
"231","pajamas",0.00170112995441938,630
"232","pants",0.0004196433048861,1606
"233","paper",0.00016062233230744,3711
"234","park",0.00032482009091686,1484
"235","party",0.0003097042196798,2149
"236","pattycake",0.0104982968841105,210
"237","peas",0.00036872237645214,1825
"238","peekaboo",0.00046022388208544,1914
"239","pen",0.00120484458032932,1140
"240","penguin",0.00331436798817146,534
"241","penny",0.00446632701693952,462
"242","people",9.50524364962e-05,4982
"243","person",0.00089143294942132,849
"244","picture",9.016455222138e-05,5093
"245","pig",0.00036206604765924,1941
"246","pillow",0.00224922535980746,551
"247","pizza",0.00028754776335262,2118
"248","plant",0.00347010314569006,388
"249","plate",0.00028737612038304,2091
"250","play",2.169449311594e-05,18557
"251","please",3.838514081164e-05,10496
"252","pony",0.0108532683993196,188
"253","pool",0.00110878902652824,690
"254","potty",0.00085051515611254,785
"255","pretty",8.473524879418e-05,5168
"256","pull",0.00011378747853304,3850
"257","puppy",0.00075564259399568,1034
"258","purse",0.00566292613623386,376
"259","push",0.00013664870726638,4318
"260","put",9.83101732576e-06,54619
"261","radio",0.00603227561773522,292
"262","rain",0.00069094820640572,967
"263","raisin",0.025693841064349,140
"264","read",5.86632823963e-05,7407
"265","red",6.20276019876e-05,7985
"266","refrigerator",0.00343405874001466,453
"267","ride",0.00026542417337576,2335
"268","rock",0.0025135373252885,687
"269","run",0.000488412323757,2002
"270","same",0.00014958600787732,3139
"271","say",1.885029842456e-05,23925
"272","scared",0.00125738962074738,802
"273","school",9.422772371692e-05,5363
"274","scissors",0.00206964100483606,607
"275","see",9.38227895038e-06,57110
"276","sheep",0.00026854406338032,1889
"277","shirt",0.00036859726787118,1907
"278","shoe",0.00040629667813892,1735
"279","shorts",0.00692769335437806,321
"280","shovel",0.0139528222357454,227
"281","show",6.609678856382e-05,6865
"282","sick",0.0007031327495027,956
"283","sing",0.00016522708035482,3076
"284","sink",0.00372963811213634,439
"285","sister",0.000919973664897,1067
"286","sky",0.00065903308423576,1056
"287","sleep",0.00124322261846142,3988
"288","sleepy",0.00130635778922498,652
"289","slide",0.00053860409144052,1422
"290","smile",0.0043929003830301,399
"291","snow",0.00051037309886418,1246
"292","soap",0.00154077895856764,568
"293","sock",0.00177502869568472,680
"294","soft",0.0006629115974756,1088
"295","some",1.226026863148e-05,36514
"296","splash",0.0029290536139586,550
"297","spoon",0.00017947039109434,2860
"298","squirrel",0.00316468603808846,409
"299","stairs",0.00083402688523284,850
"300","star",0.00091429481811148,855
"301","stop",0.0001162367614197,4448
"302","store",0.00048181234547074,1349
"303","stove",0.00259376932101064,408
"304","stroller",0.00963314167654152,171
"305","sun",0.00041833961680586,1609
"306","sweater",0.00578021393501084,244
"307","swim",0.00103537605458616,801
"308","swing",0.0017378203989129,876
"309","table",0.00010280454097156,4624
"310","take",2.245816615274e-05,16379
"311","teacher",0.00104617452360076,660
"312","teddybear",0.0023871014251041,409
"313","telephone",0.00092882257374506,1018
"314","that",4.27288358554e-06,175877
"315","there",4.93214363926e-06,85394
"316","thirsty",0.00147731478358186,623
"317","this",7.95227435864e-06,89758
"318","throw",0.000126738759377,4474
"319","tickle",0.00068221586053792,1713
"320","tiger",0.00065520600855444,1859
"321","tired",0.00015036744798632,2847
"322","toast",0.00029692726758298,1672
"323","today",4.726578135972e-05,8955
"324","toe",0.0023709723026937,477
"325","tomorrow",0.0002924928808824,1933
"326","tongue",0.00149896268713178,603
"327","tonight",0.00073572703585792,1139
"328","tooth",0.00509620871850716,284
"329","toothbrush",0.00691429929115554,261
"330","touch",0.00021578138819698,2487
"331","towel",0.00121037744074962,751
"332","toy",0.00032882297926326,2200
"333","train",7.383003687284e-05,6574
"334","trash",0.00433577828683934,235
"335","tree",0.00019303039260164,3443
"336","truck",0.0001176155756065,3917
"337","tummy",0.00055844662324084,1426
"338","turkey",0.00373549492117038,500
"339","turtle",0.00176034458893004,631
"340","tv",0.00079469490970516,1022
"341","uncle",0.00774599992634996,212
"342","under",0.0001340261907968,3477
"343","up",1.374269544496e-05,44162
"344","vacuum",0.011452617881878,192
"345","vroom",0.00496579923079938,441
"346","wait",0.00011369656788266,6371
"347","walk",0.00188190786258844,2784
"348","wash",0.00016470000880048,2810
"349","watch",7.434550933196e-05,6233
"350","water",6.918210805292e-05,6947
"351","wet",0.0003474327740894,1992
"352","what",4.64375300202e-06,164228
"353","when",2.669695392262e-05,22173
"354","where",1.401338683894e-05,31053
"355","who",3.882127514928e-05,16221
"356","why",3.076868067034e-05,17834
"357","window",0.000279769755753,2138
"358","wipe",0.00039653211341778,1451
"359","work",0.00010418243177148,4799
"360","write",0.00029269219723606,2348
"361","backyard",0.0325579927183499,78
"362","yes",1.241547877634e-05,40771
"363","you",1.1944737921e-06,472001
"364","your",5.3031445574e-06,84867
"365","yucky",0.0018891025046817,572
"366","zipper",0.00477186377999004,342
"367","zoo",0.00054773621085306,1440
"368","shh/shush/hush",NA,NA
