word,info_float,len,cnt,ngm
rissolées,5.426264754702098,9,1,2
ambipied,9.052568050804155,8,1,2
cochonnet,14.82798768371531,9,1,2
doll,4.392317422778761,4,1,2
rendormi,9.172427508645484,8,1,2
cascades,13.188434307113566,8,1,2
chocolate,18.08999867058833,9,1,2
dises,10.715730732517875,5,25,2
tuteur,13.82798768371531,6,2,2
sardines,13.163594860910237,8,3,2
wallid,9.087787793819631,6,4,2
tabouret,10.665295494867545,8,39,2
dappuyer,7.807469923655368,8,2,2
resterai,14.136350341454156,8,1,2
récitation,13.08696550311009,10,1,2
voups,10.897089128312755,5,1,2
embrasse,10.338997406355034,8,7,2
lécole,5.379371155894637,6,819,2
potion,14.601654736841795,6,1,2
indépendant,11.751457406286514,11,5,2
finissons,18.08999867058833,9,1,2
séchappent,11.495105510007786,10,2,2
marmite,12.32256874419842,7,4,2
fasse,8.137275745994444,5,256,2
chantera,13.901244032467376,8,1,2
dactivité,6.807354922057604,9,1,2
siilvousplaît,8.360536571017839,13,27,2
repose,8.713453815047705,6,45,2
pondarino,14.16749655104036,9,1,2
bobards,13.188434307113566,7,1,2
avenir,11.664447284547972,6,1,2
hallucinant,15.300978136276049,11,3,2
géni,14.601654736841795,4,1,2
kipe,13.451211111832327,4,1,2
riche,11.17119608633814,5,7,2
fichu,12.958008828189966,5,5,2
fourrer,12.461476479149102,7,5,2
chauves,11.603471806392408,7,3,2
lantau,14.151175137808572,6,1,2
documents,13.400663474127311,9,3,2
lutte,13.952611208786722,5,3,2
uno,10.30253485207709,3,31,2
crains,13.276069418246585,6,4,2
remplace,8.742497960857836,8,2,2
cicatrice,10.377329815615317,9,6,2
captivé,12.662930232572236,7,4,2
mempêche,12.978582202603429,8,2,2
épousé,10.605479518061669,6,1,2
wouahwouah,13.899640146764789,10,1,2
surfe,12.705957081021609,5,2,2
azur,12.959465083611297,4,11,2
sterna,12.131948625614294,6,5,2
gargouillis,12.188434307113566,11,2,2
avantages,13.188434307113566,9,1,2
ferment,11.005222163040912,7,5,2
mexpliqueras,15.639284175607264,12,1,2
mattends,14.88781725853071,8,2,2
précédents,10.837213603182981,10,2,2
cosette,12.138271800172221,7,1,2
lindifférence,14.151175137808572,13,1,2
discret,15.068902112297959,7,2,2
intéressé,11.513781608869907,9,6,2
aspirer,13.28159912549103,7,2,2
chemins,11.03632813844103,7,6,2
composés,7.9188632372745955,8,1,2
critères,9.271748168269756,8,2,2
grimace,9.517786338873867,7,44,2
vider,12.133103313310905,5,35,2
travailliez,9.634811050171718,11,2,2
voguer,14.151175137808572,6,1,2
suppute,11.346513733165635,7,1,2
lourd,8.704484737540199,5,116,2
converse,8.290018846932618,8,1,2
turbo,18.08999867058833,5,1,2
lauront,12.495105510007784,7,1,2
personne,10.89332006699413,8,117,2
laissemoi,14.345716123577686,9,14,2
psychomotricité,14.601654736841795,15,1,2
ouhlalala,17.08999867058833,9,2,2
racontait,13.623429586928191,9,3,2
oublieras,12.186544253086108,9,4,2
osé,12.67945148065691,3,4,2
imite,10.192292814470768,5,1,2
machin,10.510023148580066,6,26,2
hiver,8.52886978922495,5,21,2
touillent,12.495105510007784,9,1,2
yyy,9.62010311700125,3,550,2
individuelle,9.988684686772167,12,1,2
marées,12.899640146764789,6,2,2
name,0.0,4,1,2
gaufres,13.188434307113566,7,1,2
tchatches,15.639284175607264,9,1,2
escargots,10.76537080130952,9,16,2
presse,14.03444764142156,6,5,2
se,4.954807889809812,2,4538,2
redevint,8.383704292474052,8,1,2
daddy,12.152527909703208,5,18,2
punit,13.465756874480718,5,3,2
princessetahia,13.151175137808572,14,2,2
vissé,9.599912842187129,5,1,2
grands,8.136673718659758,6,180,2
caro,10.577871387531903,4,14,2
coupdoeil,11.62950841081476,9,6,2
quilles,11.145740886757162,7,6,2
février,8.20052463479298,7,28,2
libraire,7.413993841857655,8,2,2
vou,11.991211251308451,3,21,2
what,14.07669687593842,4,2,2
multiplie,12.901244032467376,9,2,2
quetzal,14.454768554892699,7,4,2
avavavovava,18.08999867058833,11,1,2
fossile,12.723274211902984,7,4,2
humain,13.214470911535914,6,2,2
kuikui,14.90646786911991,6,1,2
w,13.132853116295603,1,16,2
marchandise,10.3151495622563,11,1,2
vérifient,12.495105510007784,9,1,2
légers,6.794415866350106,6,1,2
frappes,12.38781940942215,7,6,2
houao,9.544999335294165,5,2,2
élimine,7.442943495848729,7,1,2
poah,18.08999867058833,4,1,2
couille,14.601654736841795,7,1,2
