word,info_float,len,cnt,ngm
met,0.0,3,1,5
hampelenten,18.16157970255985,11,1,5
bemessen,3.0,8,1,5
司機,3.47372339284033,2,13,5
vibrieren,12.124521271905095,9,2,5
abgeschleppt,1.4158414764109537,12,13,5
bergan,0.0,6,1,5
sharks,0.0,6,1,5
putze,11.971886775293083,5,4,5
ausschauen,0.0,10,1,5
zusammengesetzt,0.2,15,5,5
königreich,6.714245517666122,10,1,5
would,7.92822406764058,5,17,5
becher,2.6698048971096573,6,124,5
popeliger,0.0,9,1,5
reingestolpert,0.0,14,1,5
dachtest,9.148850934717633,8,10,5
draufnehmen,0.0,11,1,5
zotteligen,0.0,10,1,5
ernstaugustvonhannover,0.0,22,1,5
运动会,3.8794190199169587,3,7,5
allerallerliebsten,0.0,18,1,5
schockierend,0.0,12,1,5
setz,8.13397665644482,4,220,5
sina,1.5849625007211563,4,1,5
mürrisch,0.0,8,1,5
bergkette,0.0,9,1,5
situation,0.0,9,3,5
filzstifte,0.0,10,1,5
vernünftiger,1.0,12,1,5
figure,1.292481250360578,6,2,5
schlagsahne,5.448473910767956,11,10,5
bettcouch,1.0,9,1,5
平常,1.9534452978042594,2,2,5
grund,1.4604026894302995,5,58,5
steigern,0.0,8,1,5
zerstürzt,7.592457037268081,9,1,5
灰色,9.46352437327118,2,1,5
richtiges,1.3414752546846518,9,35,5
driver,2.5201974628199815,6,8,5
抹,4.642955132379678,1,16,5
leib,0.0,4,2,5
hundm,0.7924812503605781,5,2,5
bears,1.7018387305144012,5,4,5
派,2.447561494744627,1,5,5
mrdinosaur,1.890808447323832,10,3,5
blaulicht,4.046331842999809,9,49,5
beliebtes,2.8073549220576046,9,1,5
gebackene,0.0,9,4,5
gelassen,0.3232314602159243,8,40,5
嘢,0.46321340464730454,1,66,5
anheben,0.0,7,2,5
bräucht,12.472033519208793,7,5,5
ursprünglich,2.8073549220576046,12,1,5
he,4.70383248009427,2,695,5
schatz,2.3465184284707177,6,170,5
huckepack,0.0,9,1,5
wegrennen,0.0,9,1,5
butze,0.0,5,1,5
嗡嗡嗡,12.215029166669021,3,3,5
fließen,3.1699250014423126,7,1,5
anlage,1.0271177941257168,6,7,5
starterlaubnis,6.584962500721156,14,1,5
kakaobäume,1.5849625007211563,10,1,5
tss,8.617217457124047,3,12,5
füßchen,0.8074289523296622,7,8,5
滑板車,18.16157970255985,3,1,5
george,4.041774515255775,6,125,5
wals,0.0,4,1,5
öffne,7.033717180378262,5,2,5
abschleppflugzeug,11.667998535672528,17,1,5
brücken,2.497319910263598,7,28,5
hingehen,0.40256051990169434,8,30,5
gummierte,0.0,9,1,5
hausbauklötzchen,11.667998535672528,16,1,5
funktionieren,1.0973977226669243,13,25,5
schubadubadu,1.0,12,1,5
fer,1.0,3,1,5
pistole,10.583082767502933,7,1,5
provisorisch,1.0,12,1,5
klaro,10.322411326596635,5,12,5
herzlichen,13.19970967306041,10,6,5
einbauküche,0.0,11,1,5
phantastisch,15.507099152506939,12,3,5
mühevoller,0.0,10,1,5
diesen,2.206779510876161,6,181,5
gründeln,3.714121197224082,8,14,5
unterschiedliche,3.2156301155163973,16,17,5
aufräumt,0.0,8,1,5
norderstedt,8.661778097771986,11,1,5
扭,1.6666034289718827,1,7,5
gräbern,0.0,7,1,5
irre,8.071462362556625,4,2,5
gedingst,0.0,8,1,5
beerensorbet,0.0,12,1,5
weggegessen,8.580789851279926,11,4,5
pistenrevier,0.0,12,1,5
支,3.04318789797111,1,20,5
来着,0.0,2,1,5
faselst,5.584962500721157,7,1,5
eingeklebt,4.523561956057013,10,1,5
temperatur,0.5351323640235481,10,14,5
perlenkette,1.0566416671474375,11,3,5
tscheche,1.0,8,1,5
gegenschlagen,0.0,13,1,5
zurücktust,1.0,10,1,5
backsachen,0.0,10,2,5
zusammenstoß,0.0,12,1,5
rausgeschobene,0.0,14,1,5
裤子,6.836829086486866,2,11,5
sierra,18.16157970255985,6,1,5
mäuseschwanz,0.0,12,1,5
perfekt,3.5105683738580953,7,45,5
rauszieht,9.080789851279926,9,2,5
allernetteste,0.0,13,1,5
punker,6.907296313160712,6,4,5
besorgen,1.1983586924180212,8,87,5
dranmacht,0.0,9,1,5
baddewalz,0.0,9,2,5
teichhühner,0.0,11,1,5
dackelhund,0.0,10,1,5
jung,0.5,4,4,5
flattert,9.570390438656718,8,7,5
draufmalen,0.47118179825275924,10,21,5
haselnüsse,6.582180734427003,10,3,5
draufklopfen,0.5,12,2,5
kirchturm,2.8082526987996776,9,26,5
schabernackkinder,18.16157970255985,17,1,5
transportierst,1.5849625007211563,14,1,5
drüberkommen,0.0,12,1,5
marienkäfer,6.468774121298171,11,33,5
papageifisch,5.523561956057013,12,1,5
stuttgart,3.015174309521276,9,196,5
startkarte,2.8073549220576046,10,1,5
meterioit,5.833999267836264,9,2,5
kaka,5.977279923499917,4,1,5
rotforellen,0.0,11,2,5
passenden,1.1437713645842627,9,14,5
nachhelfen,0.0,10,1,5
herrdachs,6.807354922057604,9,1,5
gepiekt,0.430827083453526,7,6,5
亲,8.257378446828614,1,14,5
bu4,0.0,3,1,5
phantasiefiguren,0.0,16,1,5
atlas,2.2985979151482288,5,14,5
wildschnecke,0.0,12,1,5
kanaille,0.0,8,1,5
robbe,2.0902084778533174,5,15,5
schwieriger,1.1103044744210058,11,16,5
dü,0.0,2,1,5
