word,info_float,len,cnt,ngm
sander,8.586594455970186,6,4,2
wishywosh,21.483575204401,9,1,2
underpass,21.483575204401,9,1,2
coupling,16.886367800453208,8,7,2
chockies,16.291152708698903,8,1,2
cloak,11.566589454576263,5,7,2
threw,11.07282498429584,5,739,2
grandmommy,18.394652477078168,10,3,2
larrys,17.105739762350137,6,6,2
mistermagadoo,17.658380897395315,13,2,2
faffing,14.647600592081359,7,4,2
abigail,14.585671668532378,7,88,2
ringaringaroses,16.993778892086972,15,7,2
bangers,15.76362735172763,7,1,2
mompsy,17.203878476732843,6,2,2
papup,19.131037949552294,5,2,2
飞艇,21.483575204401,2,1,2
littlebobeep,18.910259253509874,12,3,2
employees,17.24808507715419,9,1,2
wight,14.759382788750447,5,4,2
external,12.722380635163804,8,2,2
fen,18.71801772699389,3,1,2
pantaloons,16.693691128830512,10,1,2
glued,14.286288229707202,5,48,2
gently,10.979419450002066,6,973,2
bode,10.059020720633443,4,3,2
interviewing,14.278377152682882,12,4,2
wakie,8.350842749348601,5,2,2
emotional,17.64767562986383,9,2,2
pitching,13.606638365746301,8,5,2
oops,9.866287298929068,4,3833,2
inlaws,13.066198890284532,6,6,2
rogerrabbit,16.66150162950581,11,3,2
getalonggang,18.71801772699389,12,1,2
misssevenbellys,16.19096279509924,15,1,2
sidit,17.645475494824332,5,1,2
pennys,12.372285180192144,6,212,2
clattery,13.81177605532666,8,1,2
continuous,17.475844876290488,10,5,2
tutter,17.574915449303965,6,11,2
ironwood,16.741066205402674,8,4,2
brake,14.992309808816705,5,29,2
unhooked,14.844976669425565,8,8,2
whitewash,16.29961944267778,9,1,2
ninnins,15.517313688630436,7,63,2
abrahamlincolns,19.48415185565239,15,2,2
airplane,9.654694450945644,8,1192,2
quicker,13.578016161259297,7,94,2
专心,9.967848748527786,2,9,2
refresher,16.555514597042443,9,3,2
registry,12.307298734575577,8,3,2
ramsis,16.28144555068527,6,28,2
icecap,13.722380635163804,6,1,2
backpack,10.691311957794861,8,695,2
inflicting,19.169225282798195,10,1,2
funnelless,18.203878476732843,10,1,2
stabler,18.71801772699389,7,1,2
lesbian,14.63373316310493,7,1,2
jesse,14.540438925409989,5,54,2
zebbidie,16.144200159045127,8,1,2
passes,14.932257455210381,6,19,2
aggravation,16.769066496997166,11,3,2
项链,9.596189756144412,2,1,2
rained,13.487959576567226,6,58,2
维生素,13.352046524517009,3,12,2
mamaswww,21.483575204401,8,1,2
worse,12.005258989802734,5,215,2
dwoing,21.483575204401,6,1,2
sackville,15.682061883541,9,1,2
iuoo,21.483575204401,4,1,2
bridesmaid,16.12731307282987,10,5,2
boneenlove,16.356469164711214,10,1,2
fruitcake,16.731332657197242,9,2,2
扁扁,5.459431618637297,2,1,2
pick,9.819685797279398,4,4887,2
agitates,15.463300850616355,8,1,2
mummybear,14.277397136092805,9,11,2
snowdrops,14.480127509645248,9,2,2
simbathelion,21.483575204401,12,1,2
overlooked,13.110972607782895,10,1,2
sloshy,18.203878476732843,6,1,2
habitrail,11.20922872256749,9,2,2
gooydoh,21.483575204401,7,1,2
bity,13.81177605532666,4,1,2
footie,14.965316706891642,6,5,2
mor,15.597368145157999,3,2,2
swetty,11.2417876022005,6,2,2
youall,11.870273059538984,6,193,2
cleveleys,14.067167975609154,9,2,2
ppppppp,21.483575204401,7,1,2
question,10.42124750186828,8,559,2
wence,16.715398997767327,5,1,2
donegore,17.484728506903778,8,1,2
mullin,18.71801772699389,6,1,2
noising,10.277287400130357,7,1,2
galloped,15.597732512148518,8,1,2
一边儿,8.692367249267255,3,3,2
posterity,14.873828574886977,9,2,2
outsmarted,15.764482881306044,10,1,2
muslinny,18.71801772699389,8,1,2
chassi,14.241610812468506,6,1,2
dunluce,21.483575204401,7,1,2
top,7.299465435984513,3,5954,2
hemming,16.024771745845754,7,1,2
ayda,21.483575204401,4,1,2
euro,17.49047902342805,4,7,2
yuhh,21.483575204401,4,1,2
dannybook,16.777449358935257,9,2,2
很,6.819870633407296,1,198,2
unclemichael,14.60914241231342,12,2,2
more,6.103868199814486,4,23406,2
picket,18.460948101863366,6,2,2
chappie,14.001014200524702,7,8,2
mrplods,17.86618255464501,7,6,2
看看,8.377364452494406,2,376,2
diu,10.394462694610318,3,1,2
joja,21.483575204401,4,1,2
drivering,17.74536576474943,9,1,2
pried,19.169225282798195,5,1,2
艾莫,21.483575204401,2,1,2
deedie,21.483575204401,6,1,2
noddyslippers,16.29961944267778,13,1,2
pretty,9.376565099415323,6,6517,2
unfriendly,14.3708478959885,10,2,2
fallowfield,14.356256475491053,11,6,2
发挥,7.784204830670116,2,3,2
abwahbwah,21.483575204401,9,1,2
第,10.78411059713936,1,46,2
wurk,0.0,4,1,2
思维,0.0,2,1,2
请问,13.133063121790578,2,4,2
boosters,7.636624620543649,8,1,2
captainmarvel,14.892745207864488,13,15,2
difficulty,14.034328824125772,10,13,2
poutch,21.483575204401,6,1,2
biscos,14.358693039219174,6,15,2
chunjee,16.981929354934852,7,3,2
bluetacks,18.71801772699389,9,1,2
trevor,13.709518984374165,6,219,2
classical,15.310232178909741,9,13,2
beaded,21.483575204401,6,1,2
fragment,18.203878476732843,8,1,2
voiceboxes,15.514741121221167,10,2,2
didi,13.132694058360823,4,30,2
deer,12.026525835648174,4,378,2
landscaping,1.0,11,1,2
kevie,21.483575204401,5,1,2
whitepostfarm,17.718017726993885,13,2,2
freddo,18.630444052622227,6,3,2
gagaga,19.898612703679845,6,3,2
dumped,14.275402383029952,6,79,2
devoted,17.484516112766563,7,1,2
大方,7.022367813028454,2,1,2
daisyandtoms,15.217172965782856,12,6,2
calculated,17.927664823132858,10,2,2
funnybone,16.693691128830512,9,1,2
打包,13.619231353282235,2,2,2
poon,18.203878476732843,4,1,2
suitsuits,13.424702264115718,9,2,2
elfie,12.910059430798851,5,2,2
lambright,16.024771745845754,9,1,2
upon,5.166022249512245,4,252,2
cartwheel,15.881950381845481,9,5,2
miners,15.480127509645248,6,1,2
benedict,16.29961944267778,8,1,2
greatgrandmas,15.35778079953604,13,10,2
炮弹,10.828678314999713,2,3,2
巫婆,6.063992834762239,2,25,2
saintpaul,5.044394119358453,9,1,2
testing,14.104109809502294,7,86,2
拉拉,8.687667284255214,2,3,2
