"46,""puppy"",""word"",""animals"",0.22,0.21,0.4,0.49,0.48,0.54,0.64,0.7,0.73,0.78,0.82,0.77,0.9,0.84,0.93"
"48,""sheep"",""word"",""animals"",0.08,0.11,0.22,0.32,0.32,0.35,0.46,0.52,0.6,0.67,0.69,0.68,0.85,0.72,0.85"
"49,""squirrel"",""word"",""animals"",0.05,0.06,0.17,0.2,0.24,0.27,0.36,0.42,0.49,0.55,0.57,0.64,0.75,0.73,0.8"
"50,""teddybear"",""word"",""animals"",0.15,0.12,0.23,0.31,0.32,0.34,0.48,0.56,0.54,0.66,0.7,0.71,0.87,0.8,0.85"
"51,""tiger"",""word"",""animals"",0.08,0.09,0.19,0.23,0.25,0.3,0.42,0.53,0.57,0.6,0.68,0.69,0.84,0.75,0.88"
"52,""turkey"",""word"",""animals"",0.04,0.03,0.09,0.16,0.17,0.22,0.32,0.32,0.4,0.44,0.49,0.5,0.66,0.56,0.72"
"53,""turtle"",""word"",""animals"",0.11,0.13,0.25,0.34,0.35,0.4,0.48,0.59,0.66,0.7,0.69,0.7,0.88,0.82,0.91"
"56,""airplane"",""word"",""vehicles"",0.22,0.21,0.41,0.48,0.54,0.57,0.7,0.74,0.79,0.85,0.9,0.92,0.96,0.91,0.97"
"57,""bicycle"",""word"",""vehicles"",0.13,0.15,0.29,0.41,0.4,0.51,0.6,0.67,0.69,0.76,0.81,0.84,0.92,0.89,0.96"
"59,""bus"",""word"",""vehicles"",0.16,0.2,0.32,0.47,0.46,0.55,0.72,0.77,0.76,0.79,0.82,0.87,0.92,0.9,0.96"
"60,""car"",""word"",""vehicles"",0.39,0.47,0.66,0.75,0.73,0.78,0.86,0.91,0.91,0.94,0.93,0.95,0.98,0.97,0.99"
"61,""firetruck"",""word"",""vehicles"",0.05,0.03,0.13,0.2,0.22,0.3,0.42,0.47,0.55,0.65,0.62,0.66,0.83,0.77,0.88"
"63,""motorcycle"",""word"",""vehicles"",0.03,0.04,0.1,0.14,0.15,0.25,0.34,0.44,0.45,0.54,0.59,0.65,0.78,0.71,0.8"
"65,""stroller"",""word"",""vehicles"",0.06,0.05,0.16,0.21,0.22,0.18,0.28,0.34,0.49,0.55,0.54,0.54,0.83,0.54,0.79"
"67,""train"",""word"",""vehicles"",0.12,0.17,0.34,0.41,0.49,0.48,0.69,0.74,0.79,0.8,0.86,0.88,0.95,0.9,0.97"
"69,""truck"",""word"",""vehicles"",0.29,0.33,0.51,0.58,0.62,0.65,0.78,0.81,0.85,0.87,0.93,0.91,0.97,0.93,0.97"
"70,""ball"",""word"",""toys"",0.77,0.79,0.9,0.91,0.95,0.94,0.96,0.98,0.96,0.97,0.98,0.98,0.99,0.98,0.99"
"71,""balloon"",""word"",""toys"",0.47,0.4,0.6,0.65,0.69,0.71,0.8,0.85,0.87,0.89,0.92,0.94,0.98,0.93,0.98"
