"89,""train"",""word"",""vehicles"",0,0,0,0,0.01,0.01,0.01,0.07,0.12,0.13,0.21"
"90,""truck"",""word"",""vehicles"",0,0,0,0,0.03,0.05,0.08,0.16,0.27,0.29,0.39"
"91,""ball"",""word"",""toys"",0.03,0.02,0.05,0.13,0.22,0.38,0.48,0.54,0.74,0.81,0.81"
"92,""balloon"",""word"",""toys"",0,0,0,0.03,0.08,0.18,0.19,0.37,0.47,0.56,0.65"
"93,""block"",""word"",""toys"",0,0,0,0,0.02,0.05,0.02,0.16,0.2,0.27,0.23"
"94,""book"",""word"",""toys"",0,0,0.01,0.05,0.13,0.21,0.23,0.39,0.53,0.54,0.62"
"95,""bubbles"",""word"",""toys"",0,0,0.01,0.03,0.03,0.08,0.09,0.2,0.38,0.48,0.46"
"96,""doll"",""word"",""toys"",0,0,0.01,0.03,0.03,0.06,0.1,0.19,0.19,0.21,0.37"
"97,""pen"",""word"",""toys"",0,0,0.01,0.01,0.01,0.01,0.01,0.07,0.06,0.11,0.21"
"98,""toy (object)"",""word"",""toys"",0,0,0.02,0,0.01,0.02,0.02,0.1,0.1,0.16,0.17"
"99,""apple"",""word"",""food_drink"",0,0,0,0,0.03,0.07,0.09,0.14,0.32,0.42,0.48"
"100,""banana"",""word"",""food_drink"",0,0,0.01,0.05,0.12,0.21,0.19,0.27,0.52,0.48,0.6"
"101,""bread"",""word"",""food_drink"",0,0,0,0,0.03,0.03,0.03,0.12,0.14,0.17,0.23"
"102,""butter"",""word"",""food_drink"",0,0,0,0,0,0,0,0.02,0.04,0.09,0.1"
"103,""cake"",""word"",""food_drink"",0,0,0.01,0,0.01,0.01,0,0.06,0.08,0.16,0.18"
"104,""candy"",""word"",""food_drink"",0,0,0,0,0.01,0.01,0.01,0.06,0.07,0.17,0.2"
"105,""carrots"",""word"",""food_drink"",0,0,0,0,0.01,0.01,0,0.05,0.06,0.07,0.1"
"106,""cereal"",""word"",""food_drink"",0,0,0.01,0,0.01,0.02,0.02,0.08,0.11,0.15,0.25"
"107,""cheerios"",""word"",""food_drink"",0,0,0,0.02,0.02,0.04,0.02,0.12,0.15,0.26,0.27"
"108,""cheese"",""word"",""food_drink"",0,0,0,0.01,0.08,0.09,0.12,0.24,0.36,0.47,0.56"
"109,""chicken (food)"",""word"",""food_drink"",0,0,0,0,0.01,0.01,0.02,0.1,0.09,0.08,0.14"
"110,""coffee"",""word"",""food_drink"",0,0,0,0,0,0,0.02,0.03,0.04,0.08,0.14"
"111,""cookie"",""word"",""food_drink"",0.03,0,0.02,0.03,0.08,0.1,0.15,0.26,0.36,0.43,0.52"
"112,""cracker"",""word"",""food_drink"",0,0,0.01,0.03,0.04,0.1,0.08,0.26,0.34,0.49,0.48"
"113,""drink (beverage)"",""word"",""food_drink"",0,0,0.01,0,0.01,0.05,0.06,0.14,0.2,0.21,0.23"
"114,""egg"",""word"",""food_drink"",0,0,0,0,0.01,0.02,0.01,0.12,0.1,0.19,0.21"
"115,""fish (food)"",""word"",""food_drink"",0,0,0,0,0.01,0.04,0.02,0.07,0.14,0.15,0.24"
"116,""food"",""word"",""food_drink"",0,0,0,0.01,0.01,0.02,0.02,0.07,0.07,0.09,0.13"
"118,""juice"",""word"",""food_drink"",0,0,0,0.03,0.08,0.12,0.16,0.34,0.46,0.55,0.54"
"119,""meat"",""word"",""food_drink"",0,0,0.01,0,0.01,0.01,0.01,0.03,0.04,0.04,0.06"
"120,""milk"",""word"",""food_drink"",0,0,0.01,0.01,0.03,0.09,0.11,0.19,0.32,0.35,0.45"
"122,""orange (food)"",""word"",""food_drink"",0,0,0,0,0.01,0.01,0.02,0.07,0.08,0.11,0.13"
"123,""peas"",""word"",""food_drink"",0,0,0.01,0,0,0.02,0.01,0.07,0.13,0.11,0.27"
"124,""pizza"",""word"",""food_drink"",0,0,0,0,0,0.01,0.01,0.04,0.1,0.17,0.21"
"125,""raisin"",""word"",""food_drink"",0,0,0,0,0.01,0.01,0.01,0.03,0.04,0.1,0.14"
"127,""toast"",""word"",""food_drink"",0,0,0,0,0.01,0.02,0.05,0.07,0.1,0.13,0.25"
"128,""water (beverage)"",""word"",""food_drink"",0,0,0.01,0.01,0.06,0.09,0.08,0.2,0.31,0.29,0.49"
"129,""beads"",""word"",""clothing"",0,0,0,0,0,0.01,0,0.03,0.06,0.06,0.07"
"130,""bib"",""word"",""clothing"",0,0,0,0.01,0.01,0.02,0.02,0.09,0.15,0.13,0.25"
"131,""boots"",""word"",""clothing"",0,0,0,0,0,0.01,0.01,0.07,0.08,0.13,0.23"
"132,""button"",""word"",""clothing"",0,0,0,0.02,0.02,0.04,0.04,0.08,0.18,0.22,0.31"
"133,""coat"",""word"",""clothing"",0,0,0,0,0.01,0.01,0.01,0.04,0.08,0.13,0.3"
