language,uni_lemma,lexical_class,category,definition,word_clean
English (American),potty,nouns,furniture_rooms,potty,potty
English (American),pour,verbs,action_words,pour,pour
English (American),present,nouns,toys,present,present
English (American),pretend,verbs,action_words,pretend,pretend
English (American),pretty,adjectives,descriptive_words,pretty,pretty
English (American),pretzel,nouns,food_drink,pretzel,pretzel
English (American),pudding,nouns,food_drink,pudding,pudding
English (American),pull,verbs,action_words,pull,pull
English (American),pumpkin,nouns,food_drink,pumpkin,pumpkin
English (American),puppy,nouns,animals,puppy,puppy
English (American),purse,nouns,household,purse,purse
English (American),push,verbs,action_words,push,push
English (American),put,verbs,action_words,put,put
English (American),puzzle,nouns,toys,puzzle,puzzle
English (American),quiet,adjectives,descriptive_words,quiet,quiet
English (American),radio,nouns,household,radio,radio
English (American),rain,nouns,outside,rain,rain
English (American),raisin,nouns,food_drink,raisin,raisin
English (American),read,verbs,action_words,read,read
English (American),red,adjectives,descriptive_words,red,red
English (American),refrigerator,nouns,furniture_rooms,refrigerator,refrigerator
English (American),ride,verbs,action_words,ride,ride
English (American),rip,verbs,action_words,rip,rip
English (American),rock (object),nouns,outside,rock,rock
English (American),rocking chair,nouns,furniture_rooms,rocking chair,rocking chair
English (American),roof,nouns,outside,roof,roof
English (American),room,nouns,furniture_rooms,room,room
English (American),rooster,nouns,animals,rooster,rooster
English (American),run,verbs,action_words,run,run
English (American),sad,adjectives,descriptive_words,sad,sad
English (American),salt,nouns,food_drink,salt,salt
English (American),same,function_words,quantifiers,same,same
English (American),sandbox,nouns,outside,sandbox,sandbox
English (American),sandwich,nouns,food_drink,sandwich,sandwich
English (American),sauce,nouns,food_drink,sauce,sauce
English (American),say,verbs,action_words,say,say
English (American),scared,adjectives,descriptive_words,scared,scared
English (American),scarf,nouns,clothing,scarf,scarf
English (American),school,nouns,outside,school,school
English (American),scissors,nouns,household,scissors,scissors
English (American),see,verbs,action_words,see,see
English (American),shake,verbs,action_words,shake,shake
English (American),share,verbs,action_words,share,share
English (American),she,function_words,pronouns,she,she
English (American),sheep,nouns,animals,sheep,sheep
English (American),shirt,nouns,clothing,shirt,shirt
English (American),shoe,nouns,clothing,shoe,shoe
English (American),shorts,nouns,clothing,shorts,shorts
English (American),shoulder,nouns,body_parts,shoulder,shoulder
English (American),shovel,nouns,outside,shovel,shovel
English (American),show,verbs,action_words,show,show
English (American),shower,nouns,furniture_rooms,shower,shower
English (American),sick,adjectives,descriptive_words,sick,sick
English (American),sidewalk,nouns,outside,sidewalk,sidewalk
English (American),sing,verbs,action_words,sing,sing
English (American),sink,nouns,furniture_rooms,sink,sink
English (American),sit,verbs,action_words,sit,sit
English (American),skate,verbs,action_words,skate,skate
English (American),sky,nouns,outside,sky,sky
English (American),sled,nouns,vehicles,sled,sled
English (American),sleep,verbs,action_words,sleep,sleep
English (American),sleepy,adjectives,descriptive_words,sleepy,sleepy
English (American),slide (action),verbs,action_words,slide (action),slide
English (American),slide (object),nouns,outside,slide (object),slide
English (American),slipper,nouns,clothing,slipper,slipper
English (American),slow,adjectives,descriptive_words,slow,slow
English (American),smile,verbs,action_words,smile,smile
English (American),sneaker,nouns,clothing,sneaker,sneaker
English (American),snow,nouns,outside,snow,snow
English (American),snowman,nouns,outside,snowman,snowman
English (American),snowsuit,nouns,clothing,snowsuit,snowsuit
English (American),so,function_words,connecting_words,so,so
English (American),soap,nouns,household,soap,soap
English (American),sock,nouns,clothing,sock,sock
English (American),soda,nouns,food_drink,soda/pop,soda
English (American),sofa,nouns,furniture_rooms,sofa,sofa
English (American),soft,adjectives,descriptive_words,soft,soft
English (American),some,function_words,quantifiers,some,some
English (American),soup,nouns,food_drink,soup,soup
English (American),spill,verbs,action_words,spill,spill
English (American),splash,verbs,action_words,splash,splash
English (American),spoon,nouns,household,spoon,spoon
English (American),sprinkler,nouns,outside,sprinkler,sprinkler
English (American),squirrel,nouns,animals,squirrel,squirrel
English (American),stairs,nouns,furniture_rooms,stairs,stairs
English (American),stand,verbs,action_words,stand,stand
English (American),star,nouns,outside,star,star
English (American),stay,verbs,action_words,stay,stay
English (American),stick,nouns,outside,stick,stick
English (American),sticky,adjectives,descriptive_words,sticky,sticky
English (American),stone,nouns,outside,stone,stone
English (American),stop,verbs,action_words,stop,stop
English (American),store,nouns,outside,store,store
English (American),story,nouns,toys,story,story
English (American),stove,nouns,furniture_rooms,stove,stove
English (American),strawberry,nouns,food_drink,strawberry,strawberry
English (American),street,nouns,outside,street,street
English (American),stroller,nouns,vehicles,stroller,stroller
English (American),stuck,adjectives,descriptive_words,stuck,stuck
English (American),sun,nouns,outside,sun,sun
English (American),sweater,nouns,clothing,sweater,sweater
English (American),sweep,verbs,action_words,sweep,sweep
English (American),swim,verbs,action_words,swim,swim
English (American),swing (action),verbs,action_words,swing (action),swing
English (American),swing (object),nouns,outside,swing (object),swing
English (American),table,nouns,furniture_rooms,table,table
English (American),take,verbs,action_words,take,take
English (American),talk,verbs,action_words,talk,talk
English (American),tape,nouns,household,tape,tape
English (American),taste,verbs,action_words,taste,taste
English (American),tear,verbs,action_words,tear,tear
English (American),teddybear,nouns,animals,teddybear,teddybear
English (American),telephone,nouns,household,telephone,telephone
English (American),that,function_words,pronouns,that,that
