word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
werfen,17,7,1802645,0.0000094305867212,0.0000133137694887
kitzeln,22,4,1802645,0.0000122042886980,0.0000144232502795
müde,289,65,1802645,0.0001603199742600,0.0001963780999587
an,2679,694,1802645,0.0014861495191788,0.0018711393535610
um,880,196,1802645,0.0004881715479199,0.0005969006654111
anfassen,22,8,1802645,0.0000122042886980,0.0000166422118609
unter,429,95,1802645,0.0002379836296109,0.0002906839671705
uns,944,202,1802645,0.0005236749332231,0.0006357324930865
gehen,743,198,1802645,0.0004121721137551,0.0005220107120370
laufen,161,52,1802645,0.0000893132036535,0.0001181597042124
wollen,1486,365,1802645,0.0008243442275101,0.0010268244718178
waschen,62,16,1802645,0.0000343939045125,0.0000432697508384
zugucken,24,8,1802645,0.0000133137694887,0.0000177516926516
gucken,1759,424,1802645,0.0009757883554444,0.0012109982830785
wir,14348,3697,1802645,0.0079594151926752,0.0100102904343340
nass,187,57,1802645,0.0001037364539330,0.0001353566564687
was,18864,4809,1802645,0.0104646228181367,0.0131323693794397
wann,215,65,1802645,0.0001192691850031,0.0001553273107018
wo,4560,1184,1802645,0.0025296162028575,0.0031864288309678
welche,453,117,1802645,0.0002512973990997,0.0003162020253572
weiß,1762,434,1802645,0.0009774525766305,0.0012182099082182
wer,2734,727,1802645,0.0015166602409238,0.0019199565083530
warum,1179,305,1802645,0.0006540389261335,0.0008232347467194
wischen,41,9,1802645,0.0000227443562099,0.0000277370197682
mit,7478,1854,1802645,0.0041483486765281,0.0051768373695320
arbeiten,76,13,1802645,0.0000421602700476,0.0000493718951873
schreiben,74,20,1802645,0.0000410507892569,0.0000521455971642
gelb,317,77,1802645,0.0001758527053302,0.0002185677157732
euch,155,41,1802645,0.0000859847612813,0.0001087291174912
du,24847,6337,1802645,0.0137836346035964,0.0172990244890148
dein,827,166,1802645,0.0004587703069656,0.0005508572125959
