word,surprisal_value,n_instances
airplane,0.0005044523759401,975
all,0.0000100105202767,39602
animal,0.0003911835080458,1240
another,0.0000519702362799,11475
apple,0.0001707723277605,2994
arm,0.0007884161316382,1221
asleep,0.0011144816705151,1093
aunt,0.0505746601802576,154
away,0.0000383053010444,8746
baby,0.0000264477186786,17593
babysitter,0.0414984329573571,62
back,0.0000228812613226,21315
bad,0.0003752452318370,2049
ball,0.0000530377847015,6760
balloon,0.0002905147823927,1436
banana,0.0016019323857437,1255
bath,0.0002385509142054,2165
bathroom,0.0005855728868506,837
bathtub,0.0029696257744969,326
beach,0.0012063578762919,794
beads,0.0032812825157216,447
bear,0.0002148756489303,4183
bed,0.0000607388837800,6090
bedroom,0.0013549474124206,907
bee,0.0005093248461620,1167
bib,0.0025554277020580,498
bicycle,0.0025689371355405,518
big,0.0000214173812780,20171
bird,0.0003584139548355,2041
bite,0.0002878146630266,2019
blanket,0.0020234170930494,762
block,0.0012044574914320,904
blow,0.0004511942676559,1665
blue,0.0000685185261689,7466
book,0.0000382493392750,12338
boots,0.0011044275345914,652
bottle,0.0002287838146207,2388
bowl,0.0004049110104155,1565
box,0.0000340802686997,6970
boy,0.0000295378866817,11411
bread,0.0002448693401331,2365
break,0.0002505166211042,2303
breakfast,0.0001605580697929,2709
bring,0.0000880096727735,4179
broken,0.0002097812257553,2193
broom,0.0156634054524272,222
brother,0.0010306047129241,997
brush,0.0002401403596303,1720
bubbles,0.0008163483765240,974
bug,0.0022761157643614,504
bump,0.0012956114239056,808
bunny,0.0001550027643331,1917
bus,0.0001647663702276,3036
butter,0.0008110474653405,1105
butterfly,0.0015606072219940,713
button,0.0008169751259862,1292
bye,0.0001539230658006,3845
cake,0.0001823752350433,2789
candy,0.0037606511343339,565
car,0.0000534222625506,10855
careful,0.0001044782281854,4866
carrots,0.0018289677676018,645
cat,0.0000917858940141,4701
cereal,0.0022573333281682,828
chair,0.0001060525531789,5135
cheek,0.0215824860497379,128
cheerios,0.1458102055686586,47
cheese,0.0001479021546561,3365
chicken,0.0002546316504612,2292
child,0.0018690359688938,498
church,0.0035165849801205,447
clean,0.0001868362353601,2943
clock,0.0004392188975037,1377
close,0.0001788398426540,2530
coat,0.0009700757136939,956
cockadoodledoo,0.0062384529414382,216
coffee,0.0003265315595694,1783
cold,0.0002110239195453,3125
comb,0.0011677954694504,509
cookie,0.0002900585054566,2119
couch,0.0021771690833982,407
cow,0.0001141572707311,2785
cracker,0.0028629822571849,385
crib,0.0053194743985557,251
cry,0.0006819507240270,1104
cup,0.0000821573843973,4257
cute,0.0004698431153669,1083
daddy,0.0002593585988546,4317
dance,0.0011378109182336,886
dark,0.0006056415062755,1195
day,0.0000566444729705,5864
deer,0.0045470362551766,309
diaper,0.0009843356212987,850
dinner,0.0003626006423311,2503
dirty,0.0002205546983358,2170
dish,0.0063679299471895,247
dog,0.0001417941144750,4418
doll,0.0004567627884116,1437
dont,0.0000093175220043,71801
donkey,0.0017092412030972,476
door,0.0000782538591757,4988
down,0.0000217709695765,25065
draw,0.0001536967365529,3948
drawer,0.0024950201426386,426
dress,0.0002561060697528,1686
drink,0.0000682534762132,5020
drive,0.0005282119318498,1490
dry,0.0003658088647135,1339
duck,0.0002602222184612,2312
ear,0.0006274575645675,990
eat,0.0000276534551734,14401
egg,0.0001799521408063,2031
elephant,0.0003992309391425,2284
empty,0.0012126892418973,969
eye,0.0004284520273241,1361
face,0.0002269499485642,3507
fall,0.0001975476928576,3614
fast,0.0005501491175353,1418
feed,0.0004993757819706,1353
fine,0.0002776946235550,1412
finger,0.0002480995512720,1726
finish,0.0001851328470009,2228
firetruck,0.0199873601247013,116
fish,0.0001229346921286,3680
flower,0.0006782810582827,1096
food,0.0000916985065975,4997
foot,0.0003297084295860,2810
fork,0.0036831455087758,606
frog,0.0005807791932859,1383
garage,0.0006412606062293,915
garden,0.0004322672391420,1401
gentle,0.0014656121560686,769
get,0.0000091382034263,44497
giraffe,0.0010094718709854,918
girl,0.0000495993629112,8943
give,0.0000386115931456,10901
glass,0.0012769804513423,851
glasses,0.0010034675589759,780
go,0.0000069029433445,66722
good,0.0000125626209384,34230
goose,0.0033303393452579,414
grandma,0.0008000522525876,653
grandpa,0.0058793337605375,286
grrr,0.0886940054157202,85
hair,0.0000918264218695,5062
hammer,0.0006954079922411,696
hand,0.0000908387920774,5101
happy,0.0001850212065830,2796
hard,0.0001326643071541,3654
hat,0.0000921610145948,4554
head,0.0000829494185705,5780
hello,0.0000567075204166,6234
help,0.0000657057155008,7177
her,0.0000260420426901,25947
hi,0.0001567027364774,5027
his,0.0000207527047051,20818
hit,0.0002481903683050,1852
home,0.0000518233616769,7693
horse,0.0001930362028086,3331
hot,0.0000984308090554,3542
house,0.0000447948881612,9705
how,0.0000209600982532,25252
hug,0.0016067745982466,926
hungry,0.0002496693801506,2181
hurry,0.0020069129564123,693
hurt,0.0002375901195220,3685
i,0.0016714884380167,650
in,0.0000051135130666,110210
inside,0.0001807041835102,3137
it,0.0000025165050345,238008
jacket,0.0046861409543575,516
jeans,0.0097953403506568,135
juice,0.0001876399936485,5133
jump,0.0002977367042913,1918
keys,0.0014533599224087,1008
kick,0.0029801764705608,729
kiss,0.0002009463278448,2664
kitchen,0.0001732567915714,1940
kitty,0.0002083670032288,2251
knee,0.0006519880414153,996
lady,0.0001592345945787,2373
lamb,0.0012307377003487,610
lamp,0.0031531110555017,228
later,0.0002722379955314,3202
leg,0.0004194757297891,1375
light,0.0001835534514981,2214
lion,0.0003907690210930,1596
little,0.0000133904334659,31132
look,0.0000090609997179,54919
love,0.0000841718406490,4169
lunch,0.0001914925851207,2362
man,0.0000990171024186,6247
me,0.0000151937347507,46556
meat,0.0015295068493271,766
medicine,0.0013916164614805,758
meow,0.0020953035164119,825
milk,0.0001124404803401,4437
mine,0.0002794807874332,2195
mommy,0.0000901101610252,5003
money,0.0004042274473306,2634
monkey,0.0004822060465405,1846
moo,0.0009223780174906,971
moon,0.0009309519341844,1164
more,0.0000202025784832,18696
morning,0.0000942083263310,4530
motorcycle,0.0123371361132923,301
mouse,0.0005150922704337,1424
mouth,0.0000784310373427,4829
my,0.0000145175131658,24342
nap,0.0008863234995610,718
naughty,0.0002177388690348,2308
necklace,0.0036927565586558,264
nice,0.0000243988181776,16080
night,0.0001733553101913,3954
no,0.0000077405808953,86149
none,0.0090572989135429,404
nose,0.0002179860419111,4475
not,0.0000076948025993,50277
now,0.0000175687327758,46644
off,0.0000243821124305,17209
old,0.0001191921494307,3163
on,0.0000048901758002,103874
open,0.0001304719030541,6596
orange,0.0001202574034517,4042
other,0.0000281792689963,12482
ouch,0.0007088431892884,807
out,0.0000299657246534,27325
outside,0.0001820160094936,4162
oven,0.0012148200042893,561
owl,0.0013521510422821,598
pajamas,0.0017435462265795,630
pants,0.0002448505255421,1606
paper,0.0001178288027064,3711
park,0.0002896071644090,1484
party,0.0003179927340996,2149
pattycake,0.0089733454709254,210
peas,0.0003312091428664,1825
peekaboo,0.0003078417550187,1914
pen,0.0007199081642047,1140
penguin,0.0042636850338661,534
penny,0.0022574900641931,462
people,0.0001084546618866,4982
person,0.0013500199797461,849
picture,0.0000841889305018,5093
pig,0.0006361411093663,1941
pillow,0.0014403720659725,551
pizza,0.0002561994911544,2118
plant,0.0029731981645907,388
plate,0.0004317596302442,2091
play,0.0000181247621766,18557
please,0.0000343485145163,10496
pony,0.0049787110852159,188
pool,0.0007194847819242,690
potty,0.0009132600109878,785
pretty,0.0000632400083962,5168
pull,0.0001383110117786,3850
puppy,0.0007247684698651,1034
purse,0.0044386025315074,376
push,0.0001101426468408,4318
put,0.0000080078273372,54619
radio,0.0037319580745273,292
rain,0.0005698348731111,967
raisin,0.0114819732361608,140
read,0.0000584647897033,7407
red,0.0000440835476031,7985
refrigerator,0.0062455866232960,453
ride,0.0002322396934865,2335
rock,0.0056410253022865,687
run,0.0003603817252941,2002
same,0.0001365060634563,3139
say,0.0000157600892118,23925
scared,0.0010067740467030,802
school,0.0000794974576556,5363
scissors,0.0010935124120128,607
see,0.0000075145374588,57110
sheep,0.0002686680720995,1889
shirt,0.0002634916613429,1907
shoe,0.0007879956327488,1735
shorts,0.0031652180231367,321
shovel,0.0059337835935345,227
show,0.0000589789125565,6865
sick,0.0007269215673197,956
sing,0.0001851056164556,3076
sink,0.0063018309194299,439
sister,0.0004860732839476,1067
sky,0.0007905262899098,1056
sleep,0.0000973862231097,3988
sleepy,0.0013866123548380,652
slide,0.0004562712881745,1422
smile,0.0026825908746545,399
snow,0.0005713986424366,1246
soap,0.0019653265819064,568
sock,0.0016334655199901,680
soft,0.0003472908636416,1088
some,0.0000096485001252,36514
splash,0.0034077988065443,550
spoon,0.0002178944216506,2860
squirrel,0.0046889453006041,409
stairs,0.0010543102694349,850
star,0.0007581219316751,855
stop,0.0000834175656797,4448
