word,surprisal_value,n_instances
wait,NA,NA
walk,NA,NA
wash,NA,NA
watch,NA,NA
water,NA,NA
wet,NA,NA
what,NA,NA
when,NA,NA
where,NA,NA
who,NA,NA
why,NA,NA
window,NA,NA
wipe,NA,NA
work,NA,NA
write,NA,NA
backyard,NA,NA
yes,NA,NA
you,NA,NA
your,NA,NA
yucky,NA,NA
zipper,NA,NA
zoo,NA,NA
shh/shush/hush,NA,NA
