word_clean,n_train_instances,n_val_instances,n_total,train_frequency,all_frequency
jouet,82,10,1665518,0.0000492339320260,0.0000552380700779
tracteur,140,21,1665518,0.0000840579327272,0.0000966666226363
train,490,122,1665518,0.0002942027645453,0.0003674532487791
arbre,34,18,1665518,0.0000204140693766,0.0000312215178701
camion,200,60,1665518,0.0001200827610389,0.0001561075893506
ventre,181,50,1665518,0.0001086748987402,0.0001386955889999
dindon,5,2,1665518,0.0000030020690260,0.0000042028966364
tortue,83,22,1665518,0.0000498343458311,0.0000630434495454
télé,90,22,1665518,0.0000540372424675,0.0000672463461818
sous,235,52,1665518,0.0001410972442207,0.0001723187620908
culotte,116,34,1665518,0.0000696480014026,0.0000900620707792
en haut,64,9,1665518,0.0000384264835325,0.0000438302077792
aspirateur,14,0,1665518,0.0000084057932727,0.0000084057932727
attendre,86,21,1665518,0.0000516355872467,0.0000642442771558
se réveiller,11,1,1665518,0.0000066045518571,0.0000072049656623
marcher,129,33,1665518,0.0000774533808701,0.0000972670364415
laver,218,64,1665518,0.0001308902095324,0.0001693166930649
machine à laver,10,3,1665518,0.0000060041380519,0.0000078053794675
montre,975,243,1665518,0.0005854034600647,0.0007313040147269
attention,1730,408,1665518,0.0010387158829866,0.0012836847155059
nous,904,266,1665518,0.0005427740798959,0.0007024841520776
mouillé,156,29,1665518,0.0000936645536103,0.0001110765539610
quoi,5517,1358,1665518,0.0033124829632583,0.0041278449107125
quand,2506,588,1665518,0.0015046369958175,0.0018576803132719
où,5007,1223,1665518,0.0030062719226091,0.0037405780063620
lequel,231,61,1665518,0.0001386955889999,0.0001753208311168
blanc,176,47,1665518,0.0001056728297142,0.0001338922785584
qui,9200,2267,1665518,0.0055238070077898,0.0068849451041658
pourquoi,2028,509,1665518,0.0012176391969345,0.0015232498237785
vent,69,22,1665518,0.0000414285525584,0.0000546376562727
fenêtre,112,33,1665518,0.0000672463461818,0.0000870600017532
essuyer,38,11,1665518,0.0000228157245974,0.0000294202764545
avec,4773,1138,1665518,0.0028657750921935,0.0035490460025049
loup,272,62,1665518,0.0001633125550129,0.0002005382109350
travailler,70,24,1665518,0.0000420289663636,0.0000564388976883
écrire,114,31,1665518,0.0000684471737922,0.0000870600017532
jaune,366,83,1665518,0.0002197514527012,0.0002695857985323
yaourt,79,17,1665518,0.0000474326906104,0.0000576397252987
vous,1279,311,1665518,0.0007679292568438,0.0009546579502593
votre,56,15,1665518,0.0000336231730909,0.0000426293801688
zèbre,31,12,1665518,0.0000186128279610,0.0000258177936234
une,6976,1725,1665518,0.0041884867050371,0.0052242005189977
beaucoup,802,212,1665518,0.0004815318717660,0.0006088195984673
tout,3663,925,1665518,0.0021993157684276,0.0027546985382325
belle,332,68,1665518,0.0001993373833246,0.0002401655220778
bavette,28,9,1665518,0.0000168115865454,0.0000222153107922
grande,408,104,1665518,0.0002449688325194,0.0003074118682596
sèche,32,11,1665518,0.0000192132417662,0.0000258177936234
visage,38,11,1665518,0.0000228157245974,0.0000294202764545
première,117,29,1665518,0.0000702484152078,0.0000876604155584
pleine,28,7,1665518,0.0000168115865454,0.0000210144831818
bonne,316,73,1665518,0.0001897307624415,0.0002335609702207
verte,60,12,1665518,0.0000360248283117,0.0000432297939740
contente,102,22,1665518,0.0000612422081298,0.0000744513118441
lourde,10,3,1665518,0.0000060041380519,0.0000078053794675
sa,1016,257,1665518,0.0006100204260777,0.0007643267740126
haute,22,4,1665518,0.0000132091037143,0.0000156107589351
son,1419,331,1665518,0.0008519871895711,0.0010507241590904
chaude,58,14,1665518,0.0000348240007013,0.0000432297939740
petite,1366,328,1665518,0.0008201652578957,0.0010171009859996
longue,18,3,1665518,0.0000108074484935,0.0000126086899091
mon,2357,560,1665518,0.0014151753388435,0.0017514070697525
coquine,42,11,1665518,0.0000252173798182,0.0000318219316753
gentille,87,25,1665518,0.0000522360010519,0.0000672463461818
aucune,17,0,1665518,0.0000102070346883,0.0000102070346883
vieille,26,8,1665518,0.0000156107589351,0.0000204140693766
zizi,51,8,1665518,0.0000306211040649,0.0000354244145065
route,64,19,1665518,0.0000384264835325,0.0000498343458311
la même,253,68,1665518,0.0001519046927142,0.0001927328314674
pantoufle,13,2,1665518,0.0000078053794675,0.0000090062070779
douce,28,9,1665518,0.0000168115865454,0.0000222153107922
de la,1869,474,1665518,0.0011221734019086,0.0014067695455708
la,19946,4915,1665518,0.0119758537584103,0.0149268876109415
elles,748,170,1665518,0.0004491095262855,0.0005511798731686
slip,6,7,1665518,0.0000036024828312,0.0000078053794675
laquelle,98,37,1665518,0.0000588405529091,0.0000810558637013
blanche,59,8,1665518,0.0000354244145065,0.0000402277249480
tu,40837,10200,1665518,0.0245190985627294,0.0306433193757137
ta,2026,500,1665518,0.0012164383693241,0.0015166452719214
mes,248,65,1665518,0.0001489026236882,0.0001879295210259
des,7416,1919,1665518,0.0044526687793227,0.0056048628714910
les,12137,3145,1665518,0.0072872223536461,0.0091755237709830
lesquels,27,5,1665518,0.0000162111727403,0.0000192132417662
ton,2622,624,1665518,0.0015742849972201,0.0019489432116615
capable,43,12,1665518,0.0000258177936234,0.0000330227592857
fâché,21,2,1665518,0.0000126086899091,0.0000138095175195
autour,71,16,1665518,0.0000426293801688,0.0000522360010519
comme,5215,1273,1665518,0.0031311579940895,0.0038954847681022
attacher,29,4,1665518,0.0000174120003506,0.0000198136555714
réveillé,31,5,1665518,0.0000186128279610,0.0000216148969870
mal,943,226,1665518,0.0005661902182985,0.0007018837382724
cogner,21,3,1665518,0.0000126086899091,0.0000144099313247
bain,568,143,1665518,0.0003410350413505,0.0004268942154933
être,953,246,1665518,0.0005721943563504,0.0007198961524283
haricot,5,1,1665518,0.0000030020690260,0.0000036024828312
en arrière,26,4,1665518,0.0000156107589351,0.0000180124141558
ceinture,19,4,1665518,0.0000114078622987,0.0000138095175195
banc,24,7,1665518,0.0000144099313247,0.0000186128279610
mieux,535,156,1665518,0.0003212213857791,0.0004148859393894
bicyclette,18,3,1665518,0.0000108074484935,0.0000126086899091
gros,842,223,1665518,0.0005055484239738,0.0006394407025322
bloc,18,3,1665518,0.0000108074484935,0.0000126086899091
amener,33,12,1665518,0.0000198136555714,0.0000270186212338
brisé,14,6,1665518,0.0000084057932727,0.0000120082761039
brun,22,8,1665518,0.0000132091037143,0.0000180124141558
brosser,10,2,1665518,0.0000060041380519,0.0000072049656623
mais,7691,2033,1665518,0.0046177825757512,0.0058384238417117
bouton,93,25,1665518,0.0000558384838831,0.0000708488290130
par,944,239,1665518,0.0005667906321036,0.0007102895315451
caméra,262,78,1665518,0.0001573084169610,0.0002041406937661
pouvoir,86,27,1665518,0.0000516355872467,0.0000678467599870
bonbon,27,8,1665518,0.0000162111727403,0.0000210144831818
auto,45,9,1665518,0.0000270186212338,0.0000324223454805
prudent,13,2,1665518,0.0000078053794675,0.0000090062070779
transporter,12,1,1665518,0.0000072049656623,0.0000078053794675
choisir,42,7,1665518,0.0000252173798182,0.0000294202764545
ranger,264,62,1665518,0.0001585092445714,0.0001957349004934
monter,168,34,1665518,0.0001008695192727,0.0001212835886493
crayon de couleur,0,1,1665518,0.0000000000000000,0.0000006004138052
venir,267,55,1665518,0.0001603104859869,0.0001933332452726
compote de pommes,1,0,1665518,0.0000006004138052,0.0000006004138052
biscuit,47,10,1665518,0.0000282194488441,0.0000342235868961
divan,11,1,1665518,0.0000066045518571,0.0000072049656623
cornichon,11,1,1665518,0.0000066045518571,0.0000072049656623
faire,4758,1229,1665518,0.0028567688851156,0.0035946774516997
à terre,16,3,1665518,0.0000096066208831,0.0000114078622987
oeuf,85,19,1665518,0.0000510351734415,0.0000624430357402
fini,757,153,1665518,0.0004545132505323,0.0005463765627270
poisson,332,75,1665518,0.0001993373833246,0.0002443684187142
réparer,83,23,1665518,0.0000498343458311,0.0000636438633506
drapeau,18,3,1665518,0.0000108074484935,0.0000126086899091
pour,5204,1284,1665518,0.0031245534422324,0.0038954847681022
jeu,328,73,1665518,0.0001969357281038,0.0002407659358830
descendre,147,31,1665518,0.0000882608293636,0.0001068736573246
embarquer,35,9,1665518,0.0000210144831818,0.0000264182074286
coller,43,7,1665518,0.0000258177936234,0.0000300206902597
gazon,10,4,1665518,0.0000060041380519,0.0000084057932727
chez nous,31,5,1665518,0.0000186128279610,0.0000216148969870
maison,814,202,1665518,0.0004887368374284,0.0006100204260777
en,6600,1618,1665518,0.0039627311142840,0.0049342006510887
devant,184,55,1665518,0.0001104761401558,0.0001434988994415
jus,141,27,1665518,0.0000846583465324,0.0001008695192727
clés,34,11,1665518,0.0000204140693766,0.0000270186212338
petit minou,1,1,1665518,0.0000006004138052,0.0000012008276104
dernier,98,30,1665518,0.0000588405529091,0.0000768529670649
tondeuse,12,8,1665518,0.0000072049656623,0.0000120082761039
lego,13,2,1665518,0.0000078053794675,0.0000090062070779
lèvres,11,0,1665518,0.0000066045518571,0.0000066045518571
chercher,938,238,1665518,0.0005631881492725,0.0007060866349088
plusieurs,79,30,1665518,0.0000474326906104,0.0000654451047662
médicament,30,5,1665518,0.0000180124141558,0.0000210144831818
le mien,43,16,1665518,0.0000258177936234,0.0000354244145065
plus,3395,839,1665518,0.0020384048686355,0.0025421520511937
moustache,17,1,1665518,0.0000102070346883,0.0000108074484935
serviette de table,0,0,1665518,0.0000000000000000,0.0000000000000000
nouveau,175,39,1665518,0.0001050724159090,0.0001284885543116
à côté de,81,20,1665518,0.0000486335182208,0.0000606417943246
orange,141,39,1665518,0.0000846583465324,0.0001080744849350
nôtre,8,1,1665518,0.0000048033104416,0.0000054037242468
dehors,265,69,1665518,0.0001591096583766,0.0002005382109350
en dehors,2,0,1665518,0.0000012008276104,0.0000012008276104
panda,17,4,1665518,0.0000102070346883,0.0000126086899091
