"uni_lemma","category","lexical_category","concreteness","language1","definition1","aoa1","surprisal_1gm1","lstm_surp_resid1","language2","definition2","aoa2","surprisal_1gm2","lstm_surp_resid2","aoa_diff","surprisal_1gm_diff","lstm_surp_resid_diff"
"airplane","vehicles","nouns",0.648343518811241,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,-1.2453662833122,-0.474068139156223,-0.629868838697939
"airplane","vehicles","nouns",0.648343518811241,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,-1.0678706741802,-0.717078594342835,-0.473492702427291
"airplane","vehicles","nouns",0.648343518811241,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967,0.160264509813601,0.289315599375622,-0.129737530987924
"airplane","vehicles","nouns",0.648343518811241,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611,-1.2511115083119,-0.163394085578457,-0.04180293575228
"airplane","vehicles","nouns",0.648343518811241,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473,1.1363616987364,-0.995994097979276,-0.00505474486741797
"airplane","vehicles","nouns",0.648343518811241,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802,-1.9249522261486,-0.847945489284666,-0.412398339861823
"airplane","vehicles","nouns",0.648343518811241,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161,-2.2116985936287,1.71113182638947,-0.956463261269052
"airplane","vehicles","nouns",0.648343518811241,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386,0.00972077756570044,-0.701642231161462,-0.123989532989505
"airplane","vehicles","nouns",0.648343518811241,"French (Quebecois)","avion",20.1550179256616,0.272087497712644,-0.414221597026891,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919,-0.741409488338199,0.273562038919203,-0.141066031470972
"airplane","vehicles","nouns",0.648343518811241,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,0.177495609132002,-0.243010455186612,0.156376136270648
"airplane","vehicles","nouns",0.648343518811241,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967,1.4056307931258,0.763383738531845,0.500131307710015
"airplane","vehicles","nouns",0.648343518811241,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611,-0.00574522499969987,0.310674053577766,0.588065902945659
"airplane","vehicles","nouns",0.648343518811241,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473,2.3817279820486,-0.521925958823053,0.624814093830521
"airplane","vehicles","nouns",0.648343518811241,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802,-0.6795859428364,-0.373877350128443,0.217470498836116
"airplane","vehicles","nouns",0.648343518811241,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"German","Flugzeug",22.3667165192903,-1.43904432867683,0.542241664242161,-0.966332310316499,2.1851999655457,-0.326594422571113
"airplane","vehicles","nouns",0.648343518811241,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"English (American)","airplane",20.1452971480959,0.973729728874106,-0.290232064037386,1.2550870608779,-0.227574092005239,0.505879305708434
"airplane","vehicles","nouns",0.648343518811241,"English (British)","aeroplane / plane",21.4003842089738,0.746155636868867,0.215647241671048,"Mandarin (Taiwanese)","飛機",20.8964274139998,-0.00147454120655912,-0.273155565555919,0.503956794974002,0.747630178075426,0.488802807226967
"airplane","vehicles","nouns",0.648343518811241,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"Mandarin (Beijing)","飞机",19.994753415848,-0.0172281016629781,-0.284484066038967,1.2281351839938,1.00639419371846,0.343755171439367
"airplane","vehicles","nouns",0.648343518811241,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"French (French)","avion",21.4061294339735,0.435481583291101,-0.372418661274611,-0.183240834131702,0.553684508764378,0.431689766675011
"airplane","vehicles","nouns",0.648343518811241,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"English (Australian)","(air)plane",19.0186562269252,1.26808159569192,-0.409166852159473,2.2042323729166,-0.278915503636441,0.468437957559873
"airplane","vehicles","nouns",0.648343518811241,"Spanish (Mexican)","avión",21.2228885998418,0.989166092055479,0.0592711054004,"Spanish (European)","avión",22.0799701518102,1.12003298699731,-0.00182325716506802,-0.857081551968403,-0.130866894941831,0.061094362565468
